*******************************************************************************
Ephemeris / WWW_USER Sun Dec  6 15:57:36 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2017-Mar-05 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Jun-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2017-Mar-05 00:00 Am  222.9208  60.1097
 2017-Mar-05 00:02 Am  223.7072  59.8555
 2017-Mar-05 00:04 Am  224.4827  59.5976
 2017-Mar-05 00:06 Am  225.2474  59.3362
 2017-Mar-05 00:08 Am  226.0016  59.0712
 2017-Mar-05 00:10 Am  226.7452  58.8029
 2017-Mar-05 00:12 Am  227.4785  58.5312
 2017-Mar-05 00:14 Am  228.2017  58.2563
 2017-Mar-05 00:16 Am  228.9148  57.9782
 2017-Mar-05 00:18 Am  229.6181  57.6972
 2017-Mar-05 00:20 Am  230.3116  57.4131
 2017-Mar-05 00:22 Am  230.9956  57.1262
 2017-Mar-05 00:24 Am  231.6702  56.8365
 2017-Mar-05 00:26  m  232.3356  56.5441
 2017-Mar-05 00:28  m  232.9919  56.2490
 2017-Mar-05 00:30  m  233.6394  55.9514
 2017-Mar-05 00:32  m  234.2781  55.6513
 2017-Mar-05 00:34  m  234.9082  55.3487
 2017-Mar-05 00:36  m  235.5299  55.0438
 2017-Mar-05 00:38  m  236.1434  54.7367
 2017-Mar-05 00:40  m  236.7488  54.4273
 2017-Mar-05 00:42  m  237.3463  54.1158
 2017-Mar-05 00:44  m  237.9361  53.8021
 2017-Mar-05 00:46  m  238.5182  53.4865
 2017-Mar-05 00:48  m  239.0930  53.1689
 2017-Mar-05 00:50  m  239.6604  52.8493
 2017-Mar-05 00:52  m  240.2207  52.5280
 2017-Mar-05 00:54  m  240.7740  52.2048
 2017-Mar-05 00:56  m  241.3205  51.8799
 2017-Mar-05 00:58  m  241.8603  51.5533
 2017-Mar-05 01:00  m  242.3935  51.2250
 2017-Mar-05 01:02  m  242.9204  50.8952
 2017-Mar-05 01:04  m  243.4410  50.5638
 2017-Mar-05 01:06  m  243.9555  50.2309
 2017-Mar-05 01:08  m  244.4640  49.8965
 2017-Mar-05 01:10  m  244.9667  49.5607
 2017-Mar-05 01:12  m  245.4636  49.2236
 2017-Mar-05 01:14  m  245.9549  48.8852
 2017-Mar-05 01:16  m  246.4408  48.5454
 2017-Mar-05 01:18  m  246.9214  48.2044
 2017-Mar-05 01:20  m  247.3967  47.8622
 2017-Mar-05 01:22  m  247.8669  47.5189
 2017-Mar-05 01:24  m  248.3321  47.1744
 2017-Mar-05 01:26  m  248.7925  46.8288
 2017-Mar-05 01:28  m  249.2481  46.4821
 2017-Mar-05 01:30  m  249.6990  46.1344
 2017-Mar-05 01:32  m  250.1455  45.7857
 2017-Mar-05 01:34  m  250.5874  45.4360
 2017-Mar-05 01:36  m  251.0251  45.0854
 2017-Mar-05 01:38  m  251.4585  44.7339
 2017-Mar-05 01:40  m  251.8878  44.3816
 2017-Mar-05 01:42  m  252.3130  44.0284
 2017-Mar-05 01:44  m  252.7343  43.6743
 2017-Mar-05 01:46  m  253.1518  43.3195
 2017-Mar-05 01:48  m  253.5655  42.9639
 2017-Mar-05 01:50  m  253.9755  42.6076
 2017-Mar-05 01:52  m  254.3819  42.2505
 2017-Mar-05 01:54  m  254.7849  41.8928
 2017-Mar-05 01:56  m  255.1844  41.5344
 2017-Mar-05 01:58  m  255.5806  41.1754
 2017-Mar-05 02:00  m  255.9736  40.8157
