*******************************************************************************
Ephemeris / WWW_USER Mon Dec 26 18:38:17 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2017-May-01 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Sep-02 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.161226.p170319                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-DEC-26. PREDICTS-> 2017-MAR-18
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2017-May-01 00:00 Cm  250.3380  49.4141
 2017-May-01 00:02 Cm  250.7910  49.0617
 2017-May-01 00:04 Cm  251.2390  48.7084
 2017-May-01 00:06 Cm  251.6821  48.3542
 2017-May-01 00:08 Cm  252.1205  47.9992
 2017-May-01 00:10 Cm  252.5542  47.6432
 2017-May-01 00:12 Cm  252.9835  47.2865
 2017-May-01 00:14 Cm  253.4084  46.9290
 2017-May-01 00:16 Cm  253.8290  46.5707
 2017-May-01 00:18 Cm  254.2454  46.2117
 2017-May-01 00:20 Cm  254.6577  45.8520
 2017-May-01 00:22 Cm  255.0661  45.4916
 2017-May-01 00:24 Nm  255.4707  45.1305
 2017-May-01 00:26 Nm  255.8715  44.7689
 2017-May-01 00:28 Nm  256.2686  44.4066
 2017-May-01 00:30 Nm  256.6621  44.0437
 2017-May-01 00:32 Nm  257.0522  43.6803
 2017-May-01 00:34 Nm  257.4388  43.3163
 2017-May-01 00:36 Nm  257.8222  42.9518
 2017-May-01 00:38 Nm  258.2023  42.5868
 2017-May-01 00:40 Nm  258.5793  42.2214
 2017-May-01 00:42 Nm  258.9533  41.8555
 2017-May-01 00:44 Nm  259.3242  41.4892
 2017-May-01 00:46 Nm  259.6923  41.1224
 2017-May-01 00:48 Nm  260.0575  40.7553
 2017-May-01 00:50 Nm  260.4200  40.3877
 2017-May-01 00:52 Nm  260.7797  40.0198
 2017-May-01 00:54 Nm  261.1369  39.6516
 2017-May-01 00:56 Nm  261.4915  39.2830
 2017-May-01 00:58 Nm  261.8437  38.9142
 2017-May-01 01:00 Am  262.1934  38.5450
 2017-May-01 01:02 Am  262.5408  38.1756
 2017-May-01 01:04 Am  262.8859  37.8059
 2017-May-01 01:06 Am  263.2288  37.4360
 2017-May-01 01:08 Am  263.5695  37.0658
 2017-May-01 01:10 Am  263.9081  36.6954
 2017-May-01 01:12 Am  264.2446  36.3248
 2017-May-01 01:14 Am  264.5792  35.9540
 2017-May-01 01:16 Am  264.9118  35.5831
 2017-May-01 01:18 Am  265.2425  35.2120
 2017-May-01 01:20 Am  265.5714  34.8408
 2017-May-01 01:22 Am  265.8985  34.4694
 2017-May-01 01:24 Am  266.2239  34.0979
 2017-May-01 01:26 Am  266.5476  33.7263
 2017-May-01 01:28 Am  266.8697  33.3546
 2017-May-01 01:30 Am  267.1902  32.9828
 2017-May-01 01:32 Am  267.5091  32.6110
 2017-May-01 01:34 Am  267.8265  32.2391
 2017-May-01 01:36 Am  268.1425  31.8671
 2017-May-01 01:38  m  268.4571  31.4952
 2017-May-01 01:40  m  268.7703  31.1232
 2017-May-01 01:42  m  269.0822  30.7512
 2017-May-01 01:44  m  269.3928  30.3792
 2017-May-01 01:46  m  269.7022  30.0072
 2017-May-01 01:48  m  270.0104  29.6352
 2017-May-01 01:50  m  270.3174  29.2633
 2017-May-01 01:52  m  270.6233  28.8914
 2017-May-01 01:54  m  270.9281  28.5196
 2017-May-01 01:56  m  271.2318  28.1478
 2017-May-01 01:58  m  271.5345  27.7761
 2017-May-01 02:00  m  271.8363  27.4045
 2017-May-01 02:02  m  272.1371  27.0330
 2017-May-01 02:04  m  272.4370  26.6616
 2017-May-01 02:06  m  272.7360  26.2904
 2017-May-01 02:08  m  273.0342  25.9192
 2017-May-01 02:10  m  273.3316  25.5482
 2017-May-01 02:12  m  273.6282  25.1774
 2017-May-01 02:14  m  273.9241  24.8067
 2017-May-01 02:16  m  274.2192  24.4361
 2017-May-01 02:18  m  274.5137  24.0658
 2017-May-01 02:20  m  274.8075  23.6956
 2017-May-01 02:22  m  275.1007  23.3256
 2017-May-01 02:24  m  275.3934  22.9558
 2017-May-01 02:26  m  275.6854  22.5863
 2017-May-01 02:28  m  275.9769  22.2169
 2017-May-01 02:30  m  276.2679  21.8478
 2017-May-01 02:32  m  276.5585  21.4790
 2017-May-01 02:34  m  276.8486  21.1103
 2017-May-01 02:36  m  277.1383  20.7420
 2017-May-01 02:38  m  277.4275  20.3739
 2017-May-01 02:40  m  277.7164  20.0061
 2017-May-01 02:42  m  278.0050  19.6386
 2017-May-01 02:44  m  278.2933  19.2713
 2017-May-01 02:46  m  278.5812  18.9044
 2017-May-01 02:48  m  278.8689  18.5378
 2017-May-01 02:50  m  279.1564  18.1715
 2017-May-01 02:52  m  279.4436  17.8056
 2017-May-01 02:54  m  279.7307  17.4399
 2017-May-01 02:56  m  280.0176  17.0747
 2017-May-01 02:58  m  280.3043  16.7098
 2017-May-01 03:00  m  280.5910  16.3452
 2017-May-01 03:02  m  280.8775  15.9811
 2017-May-01 03:04  m  281.1640  15.6173
 2017-May-01 03:06  m  281.4504  15.2539
 2017-May-01 03:08  m  281.7368  14.8909
 2017-May-01 03:10  m  282.0232  14.5283
 2017-May-01 03:12  m  282.3096  14.1662
 2017-May-01 03:14  m  282.5961  13.8045
 2017-May-01 03:16  m  282.8827  13.4432
 2017-May-01 03:18  m  283.1693  13.0824
 2017-May-01 03:20  m  283.4560  12.7220
 2017-May-01 03:22  m  283.7429  12.3621
 2017-May-01 03:24  m  284.0299  12.0026
 2017-May-01 03:26  m  284.3171  11.6437
 2017-May-01 03:28  m  284.6045  11.2852
 2017-May-01 03:30  m  284.8921  10.9272
 2017-May-01 03:32  m  285.1800  10.5698
 2017-May-01 03:34  m  285.4681  10.2129
 2017-May-01 03:36  m  285.7565   9.8565
 2017-May-01 03:38  m  286.0452   9.5006
 2017-May-01 03:40  m  286.3342   9.1453
 2017-May-01 03:42  m  286.6236   8.7906
 2017-May-01 03:44  m  286.9133   8.4364
 2017-May-01 03:46  m  287.2034   8.0828
 2017-May-01 03:48  m  287.4939   7.7298
 2017-May-01 03:50  m  287.7848   7.3773
 2017-May-01 03:52  m  288.0762   7.0255
 2017-May-01 03:54  m  288.3681   6.6743
 2017-May-01 03:56  m  288.6604   6.3238
 2017-May-01 03:58  m  288.9532   5.9738
 2017-May-01 04:00  m  289.2466   5.6245
 2017-May-01 04:02  m  289.5405   5.2759
 2017-May-01 04:04  m  289.8349   4.9279
 2017-May-01 04:06  m  290.1300   4.5806
 2017-May-01 04:08  m  290.4256   4.2340
 2017-May-01 04:10  m  290.7219   3.8881
 2017-May-01 04:12  m  291.0188   3.5429
 2017-May-01 04:14  m  291.3163   3.1984
 2017-May-01 04:16  m  291.6146   2.8547
 2017-May-01 04:18  m  291.9135   2.5117
 2017-May-01 04:20  m  292.2131   2.1694
 2017-May-01 04:22  m  292.5135   1.8279
 2017-May-01 04:24  m  292.8147   1.4872
 2017-May-01 04:26  m  293.1166   1.1472
 2017-May-01 04:28  m  293.4193   0.8081
 2017-May-01 04:30  m  293.7228   0.4697
 2017-May-01 04:32  m  294.0271   0.1322
 2017-May-01 04:34  m  294.3323  -0.2045
