*******************************************************************************
Ephemeris / WWW_USER Sun Dec  6 15:59:40 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2017-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Dec-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2017-Sep-05 00:00 Nm  119.5368  12.3641
 2017-Sep-05 00:02 Nm  119.8881  12.6906
 2017-Sep-05 00:04 Nm  120.2410  13.0160
 2017-Sep-05 00:06 Nm  120.5955  13.3403
 2017-Sep-05 00:08 Nm  120.9517  13.6635
 2017-Sep-05 00:10 Nm  121.3095  13.9855
 2017-Sep-05 00:12 Nm  121.6690  14.3063
 2017-Sep-05 00:14 Nm  122.0302  14.6260
 2017-Sep-05 00:16 Nm  122.3931  14.9444
 2017-Sep-05 00:18 Nm  122.7578  15.2616
 2017-Sep-05 00:20 Nm  123.1243  15.5776
 2017-Sep-05 00:22 Nm  123.4926  15.8923
 2017-Sep-05 00:24 Nm  123.8627  16.2057
 2017-Sep-05 00:26 Nm  124.2347  16.5178
 2017-Sep-05 00:28 Am  124.6085  16.8286
 2017-Sep-05 00:30 Am  124.9842  17.1380
 2017-Sep-05 00:32 Am  125.3619  17.4461
 2017-Sep-05 00:34 Am  125.7415  17.7528
 2017-Sep-05 00:36 Am  126.1230  18.0580
 2017-Sep-05 00:38 Am  126.5066  18.3619
 2017-Sep-05 00:40 Am  126.8921  18.6643
 2017-Sep-05 00:42 Am  127.2797  18.9652
 2017-Sep-05 00:44 Am  127.6693  19.2647
 2017-Sep-05 00:46 Am  128.0611  19.5626
 2017-Sep-05 00:48 Am  128.4549  19.8590
 2017-Sep-05 00:50 Am  128.8508  20.1538
 2017-Sep-05 00:52 Am  129.2489  20.4470
 2017-Sep-05 00:54 Am  129.6491  20.7386
 2017-Sep-05 00:56 Am  130.0516  21.0286
 2017-Sep-05 00:58 Am  130.4562  21.3170
 2017-Sep-05 01:00 Am  130.8631  21.6036
 2017-Sep-05 01:02  m  131.2722  21.8886
 2017-Sep-05 01:04  m  131.6835  22.1718
 2017-Sep-05 01:06  m  132.0972  22.4533
 2017-Sep-05 01:08  m  132.5132  22.7330
 2017-Sep-05 01:10  m  132.9314  23.0109
 2017-Sep-05 01:12  m  133.3521  23.2870
 2017-Sep-05 01:14  m  133.7751  23.5613
 2017-Sep-05 01:16  m  134.2004  23.8336
 2017-Sep-05 01:18  m  134.6282  24.1040
 2017-Sep-05 01:20  m  135.0584  24.3726
 2017-Sep-05 01:22  m  135.4910  24.6391
 2017-Sep-05 01:24  m  135.9261  24.9037
 2017-Sep-05 01:26  m  136.3636  25.1663
 2017-Sep-05 01:28  m  136.8036  25.4268
 2017-Sep-05 01:30  m  137.2461  25.6853
 2017-Sep-05 01:32  m  137.6911  25.9416
 2017-Sep-05 01:34  m  138.1386  26.1959
 2017-Sep-05 01:36  m  138.5887  26.4480
 2017-Sep-05 01:38  m  139.0413  26.6979
 2017-Sep-05 01:40  m  139.4964  26.9457
 2017-Sep-05 01:42  m  139.9542  27.1911
 2017-Sep-05 01:44  m  140.4145  27.4344
 2017-Sep-05 01:46  m  140.8774  27.6753
 2017-Sep-05 01:48  m  141.3428  27.9139
 2017-Sep-05 01:50  m  141.8109  28.1502
 2017-Sep-05 01:52  m  142.2816  28.3841
 2017-Sep-05 01:54  m  142.7550  28.6156
 2017-Sep-05 01:56  m  143.2309  28.8446
 2017-Sep-05 01:58  m  143.7095  29.0712
 2017-Sep-05 02:00  m  144.1907  29.2953
 2017-Sep-05 02:02  m  144.6745  29.5169
 2017-Sep-05 02:04  m  145.1610  29.7359
 2017-Sep-05 02:06  m  145.6501  29.9523
 2017-Sep-05 02:08  m  146.1418  30.1661
 2017-Sep-05 02:10  m  146.6362  30.3773
 2017-Sep-05 02:12  m  147.1332  30.5858
 2017-Sep-05 02:14  m  147.6328  30.7915
 2017-Sep-05 02:16  m  148.1350  30.9946
 2017-Sep-05 02:18  m  148.6399  31.1948
 2017-Sep-05 02:20  m  149.1474  31.3923
 2017-Sep-05 02:22  m  149.6574  31.5870
 2017-Sep-05 02:24  m  150.1701  31.7787
 2017-Sep-05 02:26  m  150.6853  31.9676
 2017-Sep-05 02:28  m  151.2031  32.1536
 2017-Sep-05 02:30  m  151.7235  32.3367
 2017-Sep-05 02:32  m  152.2463  32.5167
 2017-Sep-05 02:34  m  152.7718  32.6938
 2017-Sep-05 02:36  m  153.2997  32.8678
 2017-Sep-05 02:38  m  153.8300  33.0387
 2017-Sep-05 02:40  m  154.3629  33.2066
 2017-Sep-05 02:42  m  154.8982  33.3713
 2017-Sep-05 02:44  m  155.4359  33.5328
 2017-Sep-05 02:46  m  155.9760  33.6912
 2017-Sep-05 02:48  m  156.5185  33.8464
 2017-Sep-05 02:50  m  157.0633  33.9983
 2017-Sep-05 02:52  m  157.6104  34.1470
 2017-Sep-05 02:54  m  158.1598  34.2924
 2017-Sep-05 02:56  m  158.7114  34.4344
 2017-Sep-05 02:58  m  159.2652  34.5731
 2017-Sep-05 03:00  m  159.8212  34.7085
 2017-Sep-05 03:02  m  160.3794  34.8404
 2017-Sep-05 03:04  m  160.9396  34.9689
 2017-Sep-05 03:06  m  161.5019  35.0940
 2017-Sep-05 03:08  m  162.0663  35.2155
 2017-Sep-05 03:10  m  162.6326  35.3336
 2017-Sep-05 03:12  m  163.2008  35.4482
 2017-Sep-05 03:14  m  163.7709  35.5592
