*******************************************************************************
Ephemeris / WWW_USER Mon Dec 26 18:40:31 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2017-Sep-01 00:00:00.0000 UT      
Stop  time      : A.D. 2018-Jan-02 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.161226.p170319                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-DEC-26. PREDICTS-> 2017-MAR-18
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2017-Sep-01 00:00 Cm  165.8417  28.6308
 2017-Sep-01 00:02 Nm  166.3558  28.7204
 2017-Sep-01 00:04 Nm  166.8711  28.8069
 2017-Sep-01 00:06 Nm  167.3875  28.8900
 2017-Sep-01 00:08 Nm  167.9050  28.9699
 2017-Sep-01 00:10 Nm  168.4236  29.0464
 2017-Sep-01 00:12 Nm  168.9431  29.1197
 2017-Sep-01 00:14 Nm  169.4637  29.1896
 2017-Sep-01 00:16 Nm  169.9852  29.2562
 2017-Sep-01 00:18 Nm  170.5075  29.3194
 2017-Sep-01 00:20 Nm  171.0307  29.3793
 2017-Sep-01 00:22 Nm  171.5548  29.4358
 2017-Sep-01 00:24 Nm  172.0795  29.4889
 2017-Sep-01 00:26 Nm  172.6050  29.5386
 2017-Sep-01 00:28 Nm  173.1311  29.5849
 2017-Sep-01 00:30 Nm  173.6579  29.6278
 2017-Sep-01 00:32 Nm  174.1852  29.6673
 2017-Sep-01 00:34 Am  174.7131  29.7034
 2017-Sep-01 00:36 Am  175.2414  29.7360
 2017-Sep-01 00:38 Am  175.7702  29.7653
 2017-Sep-01 00:40 Am  176.2993  29.7910
 2017-Sep-01 00:42 Am  176.8288  29.8134
 2017-Sep-01 00:44 Am  177.3586  29.8322
 2017-Sep-01 00:46 Am  177.8887  29.8477
 2017-Sep-01 00:48 Am  178.4189  29.8596
 2017-Sep-01 00:50 Am  178.9492  29.8682
 2017-Sep-01 00:52 Am  179.4797  29.8732
 2017-Sep-01 00:54 At  180.0102  29.8748
 2017-Sep-01 00:56 Am  180.5407  29.8730
 2017-Sep-01 00:58 Am  181.0712  29.8676
 2017-Sep-01 01:00 Am  181.6015  29.8589
 2017-Sep-01 01:02 Am  182.1317  29.8466
 2017-Sep-01 01:04 Am  182.6617  29.8309
 2017-Sep-01 01:06 Am  183.1915  29.8118
 2017-Sep-01 01:08 Am  183.7209  29.7892
 2017-Sep-01 01:10  m  184.2501  29.7632
 2017-Sep-01 01:12  m  184.7788  29.7337
 2017-Sep-01 01:14  m  185.3071  29.7008
 2017-Sep-01 01:16  m  185.8349  29.6645
 2017-Sep-01 01:18  m  186.3622  29.6247
 2017-Sep-01 01:20  m  186.8889  29.5815
 2017-Sep-01 01:22  m  187.4150  29.5350
 2017-Sep-01 01:24  m  187.9404  29.4850
 2017-Sep-01 01:26  m  188.4651  29.4316
 2017-Sep-01 01:28  m  188.9890  29.3749
 2017-Sep-01 01:30  m  189.5121  29.3148
 2017-Sep-01 01:32  m  190.0344  29.2513
 2017-Sep-01 01:34  m  190.5558  29.1844
 2017-Sep-01 01:36  m  191.0763  29.1143
 2017-Sep-01 01:38  m  191.5958  29.0408
 2017-Sep-01 01:40  m  192.1142  28.9640
 2017-Sep-01 01:42  m  192.6316  28.8839
 2017-Sep-01 01:44  m  193.1480  28.8005
 2017-Sep-01 01:46  m  193.6631  28.7138
 2017-Sep-01 01:48  m  194.1772  28.6239
 2017-Sep-01 01:50  m  194.6900  28.5307
 2017-Sep-01 01:52  m  195.2015  28.4344
 2017-Sep-01 01:54  m  195.7118  28.3348
 2017-Sep-01 01:56  m  196.2207  28.2320
 2017-Sep-01 01:58  m  196.7283  28.1260
 2017-Sep-01 02:00  m  197.2345  28.0168
 2017-Sep-01 02:02  m  197.7393  27.9046
 2017-Sep-01 02:04  m  198.2427  27.7892
 2017-Sep-01 02:06  m  198.7445  27.6706
 2017-Sep-01 02:08  m  199.2449  27.5490
 2017-Sep-01 02:10  m  199.7437  27.4244
 2017-Sep-01 02:12  m  200.2410  27.2966
 2017-Sep-01 02:14  m  200.7366  27.1659
 2017-Sep-01 02:16  m  201.2307  27.0321
 2017-Sep-01 02:18  m  201.7230  26.8954
 2017-Sep-01 02:20  m  202.2138  26.7556
 2017-Sep-01 02:22  m  202.7028  26.6130
 2017-Sep-01 02:24  m  203.1901  26.4673
 2017-Sep-01 02:26  m  203.6756  26.3188
 2017-Sep-01 02:28  m  204.1595  26.1674
 2017-Sep-01 02:30  m  204.6415  26.0132
 2017-Sep-01 02:32  m  205.1217  25.8561
 2017-Sep-01 02:34  m  205.6001  25.6961
 2017-Sep-01 02:36  m  206.0767  25.5334
 2017-Sep-01 02:38  m  206.5514  25.3679
 2017-Sep-01 02:40  m  207.0243  25.1996
 2017-Sep-01 02:42  m  207.4953  25.0286
 2017-Sep-01 02:44  m  207.9644  24.8550
 2017-Sep-01 02:46  m  208.4315  24.6786
 2017-Sep-01 02:48  m  208.8968  24.4995
 2017-Sep-01 02:50  m  209.3601  24.3178
 2017-Sep-01 02:52  m  209.8215  24.1335
 2017-Sep-01 02:54  m  210.2810  23.9467
 2017-Sep-01 02:56  m  210.7385  23.7572
 2017-Sep-01 02:58  m  211.1940  23.5652
 2017-Sep-01 03:00  m  211.6476  23.3707
 2017-Sep-01 03:02  m  212.0991  23.1737
 2017-Sep-01 03:04  m  212.5487  22.9742
 2017-Sep-01 03:06  m  212.9963  22.7722
 2017-Sep-01 03:08  m  213.4419  22.5678
 2017-Sep-01 03:10  m  213.8855  22.3611
 2017-Sep-01 03:12  m  214.3271  22.1519
 2017-Sep-01 03:14  m  214.7668  21.9404
 2017-Sep-01 03:16  m  215.2044  21.7265
 2017-Sep-01 03:18  m  215.6400  21.5104
 2017-Sep-01 03:20  m  216.0736  21.2919
 2017-Sep-01 03:22  m  216.5052  21.0712
 2017-Sep-01 03:24  m  216.9348  20.8483
 2017-Sep-01 03:26  m  217.3624  20.6231
 2017-Sep-01 03:28  m  217.7880  20.3958
 2017-Sep-01 03:30  m  218.2117  20.1662
