*******************************************************************************
Ephemeris / WWW_USER Mon Dec 26 17:35:10 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2018-Apr-01 00:00:00.0000 UT      
Stop  time      : A.D. 2018-Jul-02 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.161226.p170319                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-DEC-26. PREDICTS-> 2017-MAR-18
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2018-Apr-01 00:00 Nm   96.1560   2.4264
 2018-Apr-01 00:02 Nm   96.4741   2.7911
 2018-Apr-01 00:04 Nm   96.7926   3.1556
 2018-Apr-01 00:06 Nm   97.1115   3.5199
 2018-Apr-01 00:08 Nm   97.4309   3.8840
 2018-Apr-01 00:10 Nm   97.7508   4.2479
 2018-Apr-01 00:12 Nm   98.0711   4.6115
 2018-Apr-01 00:14 Nm   98.3920   4.9749
 2018-Apr-01 00:16 Nm   98.7135   5.3379
 2018-Apr-01 00:18 Nm   99.0355   5.7008
 2018-Apr-01 00:20 Nm   99.3581   6.0633
 2018-Apr-01 00:22 Nm   99.6814   6.4255
 2018-Apr-01 00:24 Am  100.0054   6.7874
 2018-Apr-01 00:26 Am  100.3300   7.1489
 2018-Apr-01 00:28 Am  100.6554   7.5101
 2018-Apr-01 00:30 Am  100.9815   7.8710
 2018-Apr-01 00:32 Am  101.3084   8.2315
 2018-Apr-01 00:34 Am  101.6361   8.5916
 2018-Apr-01 00:36 Am  101.9646   8.9513
 2018-Apr-01 00:38 Am  102.2940   9.3105
 2018-Apr-01 00:40 Am  102.6243   9.6694
 2018-Apr-01 00:42 Am  102.9555  10.0278
 2018-Apr-01 00:44 Am  103.2876  10.3858
 2018-Apr-01 00:46 Am  103.6207  10.7433
 2018-Apr-01 00:48 Am  103.9548  11.1003
 2018-Apr-01 00:50 Am  104.2899  11.4569
 2018-Apr-01 00:52 Am  104.6261  11.8129
 2018-Apr-01 00:54 Am  104.9634  12.1684
 2018-Apr-01 00:56 Am  105.3018  12.5234
 2018-Apr-01 00:58  m  105.6413  12.8778
 2018-Apr-01 01:00  m  105.9820  13.2316
 2018-Apr-01 01:02  m  106.3239  13.5849
 2018-Apr-01 01:04  m  106.6671  13.9375
 2018-Apr-01 01:06  m  107.0115  14.2896
 2018-Apr-01 01:08  m  107.3572  14.6410
 2018-Apr-01 01:10  m  107.7042  14.9917
 2018-Apr-01 01:12  m  108.0525  15.3418
 2018-Apr-01 01:14  m  108.4023  15.6913
 2018-Apr-01 01:16  m  108.7535  16.0400
 2018-Apr-01 01:18  m  109.1061  16.3880
 2018-Apr-01 01:20  m  109.4602  16.7353
 2018-Apr-01 01:22  m  109.8158  17.0819
 2018-Apr-01 01:24  m  110.1729  17.4277
 2018-Apr-01 01:26  m  110.5316  17.7727
 2018-Apr-01 01:28  m  110.8919  18.1169
 2018-Apr-01 01:30  m  111.2539  18.4603
 2018-Apr-01 01:32  m  111.6175  18.8028
 2018-Apr-01 01:34  m  111.9828  19.1446
 2018-Apr-01 01:36  m  112.3498  19.4854
 2018-Apr-01 01:38  m  112.7186  19.8253
 2018-Apr-01 01:40  m  113.0892  20.1644
 2018-Apr-01 01:42  m  113.4617  20.5025
 2018-Apr-01 01:44  m  113.8360  20.8396
 2018-Apr-01 01:46  m  114.2122  21.1758
 2018-Apr-01 01:48  m  114.5903  21.5110
 2018-Apr-01 01:50  m  114.9704  21.8452
 2018-Apr-01 01:52  m  115.3525  22.1784
 2018-Apr-01 01:54  m  115.7366  22.5105
 2018-Apr-01 01:56  m  116.1228  22.8415
 2018-Apr-01 01:58  m  116.5111  23.1715
 2018-Apr-01 02:00  m  116.9015  23.5003
 2018-Apr-01 02:02  m  117.2942  23.8280
 2018-Apr-01 02:04  m  117.6890  24.1545
 2018-Apr-01 02:06  m  118.0860  24.4799
 2018-Apr-01 02:08  m  118.4853  24.8040
 2018-Apr-01 02:10  m  118.8870  25.1269
 2018-Apr-01 02:12  m  119.2910  25.4485
 2018-Apr-01 02:14  m  119.6973  25.7689
 2018-Apr-01 02:16  m  120.1061  26.0880
 2018-Apr-01 02:18  m  120.5173  26.4057
 2018-Apr-01 02:20  m  120.9311  26.7221
 2018-Apr-01 02:22  m  121.3473  27.0371
 2018-Apr-01 02:24  m  121.7661  27.3507
 2018-Apr-01 02:26  m  122.1875  27.6628
 2018-Apr-01 02:28  m  122.6115  27.9735
 2018-Apr-01 02:30  m  123.0382  28.2827
 2018-Apr-01 02:32  m  123.4676  28.5904
 2018-Apr-01 02:34  m  123.8998  28.8966
 2018-Apr-01 02:36  m  124.3347  29.2011
 2018-Apr-01 02:38  m  124.7724  29.5041
 2018-Apr-01 02:40  m  125.2129  29.8055
 2018-Apr-01 02:42  m  125.6563  30.1052
 2018-Apr-01 02:44  m  126.1027  30.4032
 2018-Apr-01 02:46  m  126.5519  30.6995
 2018-Apr-01 02:48  m  127.0042  30.9940
 2018-Apr-01 02:50  m  127.4595  31.2868
 2018-Apr-01 02:52  m  127.9178  31.5777
 2018-Apr-01 02:54  m  128.3792  31.8669
 2018-Apr-01 02:56  m  128.8437  32.1541
 2018-Apr-01 02:58  m  129.3114  32.4394
 2018-Apr-01 03:00  m  129.7822  32.7228
 2018-Apr-01 03:02  m  130.2562  33.0042
 2018-Apr-01 03:04  m  130.7335  33.2836
