*******************************************************************************
Ephemeris / WWW_USER Sun Dec  6 16:09:47 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2020-Mar-05 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Jun-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2020-Mar-05 00:00 Am  140.8026  69.4886
 2020-Mar-05 00:02 Am  141.8999  69.7227
 2020-Mar-05 00:04 Am  143.0193  69.9510
 2020-Mar-05 00:06 Am  144.1609  70.1735
 2020-Mar-05 00:08 Am  145.3249  70.3899
 2020-Mar-05 00:10 Am  146.5113  70.5999
 2020-Mar-05 00:12 Am  147.7203  70.8034
 2020-Mar-05 00:14 Am  148.9518  71.0002
 2020-Mar-05 00:16 Am  150.2057  71.1900
 2020-Mar-05 00:18 Am  151.4818  71.3727
 2020-Mar-05 00:20 Am  152.7800  71.5479
 2020-Mar-05 00:22 Am  154.0999  71.7156
 2020-Mar-05 00:24 Am  155.4411  71.8754
 2020-Mar-05 00:26 Am  156.8031  72.0271
 2020-Mar-05 00:28  m  158.1853  72.1707
 2020-Mar-05 00:30  m  159.5871  72.3057
 2020-Mar-05 00:32  m  161.0077  72.4321
 2020-Mar-05 00:34  m  162.4462  72.5497
 2020-Mar-05 00:36  m  163.9016  72.6582
 2020-Mar-05 00:38  m  165.3729  72.7576
 2020-Mar-05 00:40  m  166.8589  72.8476
 2020-Mar-05 00:42  m  168.3583  72.9281
 2020-Mar-05 00:44  m  169.8699  72.9989
 2020-Mar-05 00:46  m  171.3921  73.0600
 2020-Mar-05 00:48  m  172.9235  73.1112
 2020-Mar-05 00:50  m  174.4625  73.1524
 2020-Mar-05 00:52  m  176.0076  73.1836
 2020-Mar-05 00:54  m  177.5570  73.2047
 2020-Mar-05 00:56  m  179.1092  73.2156
 2020-Mar-05 00:58  t  180.6623  73.2164
 2020-Mar-05 01:00  m  182.2147  73.2070
 2020-Mar-05 01:02  m  183.7646  73.1875
 2020-Mar-05 01:04  m  185.3105  73.1579
 2020-Mar-05 01:06  m  186.8505  73.1183
 2020-Mar-05 01:08  m  188.3832  73.0686
 2020-Mar-05 01:10  m  189.9069  73.0091
 2020-Mar-05 01:12  m  191.4202  72.9398
 2020-Mar-05 01:14  m  192.9216  72.8608
 2020-Mar-05 01:16  m  194.4097  72.7723
 2020-Mar-05 01:18  m  195.8833  72.6744
 2020-Mar-05 01:20  m  197.3412  72.5672
 2020-Mar-05 01:22  m  198.7824  72.4511
 2020-Mar-05 01:24  m  200.2057  72.3260
 2020-Mar-05 01:26  m  201.6104  72.1923
 2020-Mar-05 01:28  m  202.9957  72.0501
 2020-Mar-05 01:30  m  204.3609  71.8996
 2020-Mar-05 01:32  m  205.7053  71.7411
 2020-Mar-05 01:34  m  207.0284  71.5747
 2020-Mar-05 01:36  m  208.3299  71.4006
 2020-Mar-05 01:38  m  209.6094  71.2191
 2020-Mar-05 01:40  m  210.8667  71.0304
 2020-Mar-05 01:42  m  212.1016  70.8347
 2020-Mar-05 01:44  m  213.3141  70.6323
 2020-Mar-05 01:46  m  214.5039  70.4233
 2020-Mar-05 01:48  m  215.6713  70.2079
 2020-Mar-05 01:50  m  216.8164  69.9864
 2020-Mar-05 01:52  m  217.9391  69.7589
 2020-Mar-05 01:54  m  219.0398  69.5258
 2020-Mar-05 01:56  m  220.1186  69.2871
 2020-Mar-05 01:58  m  221.1759  69.0430
 2020-Mar-05 02:00  m  222.2118  68.7938
 2020-Mar-05 02:02  m  223.2269  68.5397
 2020-Mar-05 02:04  m  224.2213  68.2808
 2020-Mar-05 02:06  m  225.1955  68.0172
 2020-Mar-05 02:08  m  226.1498  67.7493
 2020-Mar-05 02:10  m  227.0847  67.4770
 2020-Mar-05 02:12  m  228.0005  67.2007
 2020-Mar-05 02:14  m  228.8978  66.9204
 2020-Mar-05 02:16  m  229.7768  66.6363
 2020-Mar-05 02:18  m  230.6381  66.3485
 2020-Mar-05 02:20  m  231.4820  66.0572
 2020-Mar-05 02:22  m  232.3091  65.7625
 2020-Mar-05 02:24  m  233.1197  65.4646
 2020-Mar-05 02:26  m  233.9142  65.1635
 2020-Mar-05 02:28  m  234.6932  64.8594
 2020-Mar-05 02:30  m  235.4569  64.5523
 2020-Mar-05 02:32  m  236.2059  64.2425
 2020-Mar-05 02:34  m  236.9405  63.9301
 2020-Mar-05 02:36  m  237.6611  63.6150
 2020-Mar-05 02:38  m  238.3682  63.2974
 2020-Mar-05 02:40  m  239.0620  62.9775
 2020-Mar-05 02:42  m  239.7431  62.6553
