*******************************************************************************
Ephemeris / WWW_USER Mon Dec 26 17:58:07 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2020-May-01 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Sep-02 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.161226.p170319                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-DEC-26. PREDICTS-> 2017-MAR-18
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2020-May-01 00:00 Cm  201.1772  68.8742
 2020-May-01 00:02 Cm  202.3833  68.7309
 2020-May-01 00:04 Cm  203.5748  68.5803
 2020-May-01 00:06 Cm  204.7513  68.4226
 2020-May-01 00:08 Cm  205.9124  68.2580
 2020-May-01 00:10 Cm  207.0579  68.0867
 2020-May-01 00:12 Cm  208.1875  67.9087
 2020-May-01 00:14 Cm  209.3010  67.7243
 2020-May-01 00:16 Cm  210.3983  67.5336
 2020-May-01 00:18 Cm  211.4792  67.3368
 2020-May-01 00:20 Cm  212.5437  67.1340
 2020-May-01 00:22 Cm  213.5917  66.9254
 2020-May-01 00:24 Cm  214.6232  66.7112
 2020-May-01 00:26 Nm  215.6383  66.4915
 2020-May-01 00:28 Nm  216.6371  66.2665
 2020-May-01 00:30 Nm  217.6196  66.0363
 2020-May-01 00:32 Nm  218.5858  65.8010
 2020-May-01 00:34 Nm  219.5361  65.5609
 2020-May-01 00:36 Nm  220.4705  65.3161
 2020-May-01 00:38 Nm  221.3892  65.0667
 2020-May-01 00:40 Nm  222.2923  64.8129
 2020-May-01 00:42 Nm  223.1802  64.5547
 2020-May-01 00:44 Nm  224.0530  64.2924
 2020-May-01 00:46 Nm  224.9109  64.0261
 2020-May-01 00:48 Nm  225.7542  63.7558
 2020-May-01 00:50 Nm  226.5832  63.4818
 2020-May-01 00:52 Nm  227.3980  63.2041
 2020-May-01 00:54 Nm  228.1990  62.9229
 2020-May-01 00:56 Nm  228.9864  62.6382
 2020-May-01 00:58 Nm  229.7605  62.3502
 2020-May-01 01:00 Am  230.5216  62.0590
 2020-May-01 01:02 Am  231.2698  61.7647
 2020-May-01 01:04 Am  232.0056  61.4674
 2020-May-01 01:06 Am  232.7292  61.1671
 2020-May-01 01:08 Am  233.4408  60.8641
 2020-May-01 01:10 Am  234.1407  60.5584
 2020-May-01 01:12 Am  234.8292  60.2500
 2020-May-01 01:14 Am  235.5065  59.9391
 2020-May-01 01:16 Am  236.1730  59.6257
 2020-May-01 01:18 Am  236.8288  59.3100
 2020-May-01 01:20 Am  237.4742  58.9920
 2020-May-01 01:22 Am  238.1095  58.6717
 2020-May-01 01:24 Am  238.7350  58.3493
 2020-May-01 01:26 Am  239.3508  58.0249
 2020-May-01 01:28 Am  239.9572  57.6984
 2020-May-01 01:30 Am  240.5545  57.3700
 2020-May-01 01:32 Am  241.1428  57.0397
 2020-May-01 01:34 Am  241.7224  56.7076
 2020-May-01 01:36 Am  242.2936  56.3738
 2020-May-01 01:38 Am  242.8565  56.0383
 2020-May-01 01:40  m  243.4113  55.7011
 2020-May-01 01:42  m  243.9583  55.3624
 2020-May-01 01:44  m  244.4976  55.0222
 2020-May-01 01:46  m  245.0295  54.6804
 2020-May-01 01:48  m  245.5541  54.3373
 2020-May-01 01:50  m  246.0717  53.9927
 2020-May-01 01:52  m  246.5824  53.6469
 2020-May-01 01:54  m  247.0864  53.2998
 2020-May-01 01:56  m  247.5839  52.9514
 2020-May-01 01:58  m  248.0750  52.6018
 2020-May-01 02:00  m  248.5599  52.2511
 2020-May-01 02:02  m  249.0388  51.8992
 2020-May-01 02:04  m  249.5118  51.5463
 2020-May-01 02:06  m  249.9791  51.1923
 2020-May-01 02:08  m  250.4408  50.8373
 2020-May-01 02:10  m  250.8971  50.4814
 2020-May-01 02:12  m  251.3481  50.1245
 2020-May-01 02:14  m  251.7940  49.7667
 2020-May-01 02:16  m  252.2349  49.4081
 2020-May-01 02:18  m  252.6709  49.0486
 2020-May-01 02:20  m  253.1021  48.6882
 2020-May-01 02:22  m  253.5287  48.3272
 2020-May-01 02:24  m  253.9509  47.9653
 2020-May-01 02:26  m  254.3686  47.6028
 2020-May-01 02:28  m  254.7820  47.2395
 2020-May-01 02:30  m  255.1913  46.8756
 2020-May-01 02:32  m  255.5966  46.5110
 2020-May-01 02:34  m  255.9979  46.1458
 2020-May-01 02:36  m  256.3953  45.7800
 2020-May-01 02:38  m  256.7891  45.4136
 2020-May-01 02:40  m  257.1791  45.0467
 2020-May-01 02:42  m  257.5657  44.6793
 2020-May-01 02:44  m  257.9488  44.3113
 2020-May-01 02:46  m  258.3285  43.9429
 2020-May-01 02:48  m  258.7049  43.5740
 2020-May-01 02:50  m  259.0782  43.2046
 2020-May-01 02:52  m  259.4484  42.8349
 2020-May-01 02:54  m  259.8155  42.4647
 2020-May-01 02:56  m  260.1797  42.0941
 2020-May-01 02:58  m  260.5410  41.7232
 2020-May-01 03:00  m  260.8996  41.3519
 2020-May-01 03:02  m  261.2554  40.9803
 2020-May-01 03:04  m  261.6086  40.6083
 2020-May-01 03:06  m  261.9593  40.2361
 2020-May-01 03:08  m  262.3074  39.8636
 2020-May-01 03:10  m  262.6531  39.4908
 2020-May-01 03:12  m  262.9964  39.1177
 2020-May-01 03:14  m  263.3375  38.7444
 2020-May-01 03:16  m  263.6763  38.3709
 2020-May-01 03:18  m  264.0129  37.9972
 2020-May-01 03:20  m  264.3474  37.6233
 2020-May-01 03:22  m  264.6799  37.2492
 2020-May-01 03:24  m  265.0103  36.8750
 2020-May-01 03:26  m  265.3388  36.5006
 2020-May-01 03:28  m  265.6654  36.1260
 2020-May-01 03:30  m  265.9902  35.7513
 2020-May-01 03:32  m  266.3132  35.3765
 2020-May-01 03:34  m  266.6344  35.0017
 2020-May-01 03:36  m  266.9540  34.6267
 2020-May-01 03:38  m  267.2719  34.2516
 2020-May-01 03:40  m  267.5883  33.8765
 2020-May-01 03:42  m  267.9031  33.5014
 2020-May-01 03:44  m  268.2164  33.1262
 2020-May-01 03:46  m  268.5283  32.7509
 2020-May-01 03:48  m  268.8388  32.3757
 2020-May-01 03:50  m  269.1479  32.0004
 2020-May-01 03:52  m  269.4557  31.6251
 2020-May-01 03:54  m  269.7622  31.2499
 2020-May-01 03:56  m  270.0675  30.8747
 2020-May-01 03:58  m  270.3716  30.4995
 2020-May-01 04:00  m  270.6746  30.1244
 2020-May-01 04:02  m  270.9764  29.7493
 2020-May-01 04:04  m  271.2771  29.3743
 2020-May-01 04:06  m  271.5769  28.9994
 2020-May-01 04:08  m  271.8756  28.6245
 2020-May-01 04:10  m  272.1733  28.2498
 2020-May-01 04:12  m  272.4701  27.8752
 2020-May-01 04:14  m  272.7660  27.5006
 2020-May-01 04:16  m  273.0611  27.1262
 2020-May-01 04:18  m  273.3553  26.7520
 2020-May-01 04:20  m  273.6487  26.3779
 2020-May-01 04:22  m  273.9413  26.0039
 2020-May-01 04:24  m  274.2332  25.6301
 2020-May-01 04:26  m  274.5245  25.2565
 2020-May-01 04:28  m  274.8150  24.8831
 2020-May-01 04:30  m  275.1049  24.5098
 2020-May-01 04:32  m  275.3942  24.1368
 2020-May-01 04:34  m  275.6829  23.7640
 2020-May-01 04:36  m  275.9711  23.3913
 2020-May-01 04:38  m  276.2587  23.0190
