*******************************************************************************
Ephemeris / WWW_USER Sun Dec  6 16:11:14 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2020-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Dec-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2020-Sep-05 00:00 N    79.3196 -11.7491
 2020-Sep-05 00:02 N    79.6395 -11.3793
 2020-Sep-05 00:04 N    79.9586 -11.0090
 2020-Sep-05 00:06 N    80.2768 -10.6384
 2020-Sep-05 00:08 N    80.5943 -10.2674
 2020-Sep-05 00:10 N    80.9111  -9.8960
 2020-Sep-05 00:12 N    81.2271  -9.5242
 2020-Sep-05 00:14 N    81.5425  -9.1521
 2020-Sep-05 00:16 N    81.8572  -8.7797
 2020-Sep-05 00:18 N    82.1712  -8.4070
 2020-Sep-05 00:20 N    82.4847  -8.0339
 2020-Sep-05 00:22 N    82.7976  -7.6606
 2020-Sep-05 00:24 N    83.1099  -7.2869
 2020-Sep-05 00:26 N    83.4217  -6.9130
 2020-Sep-05 00:28 A    83.7331  -6.5388
 2020-Sep-05 00:30 A    84.0439  -6.1644
 2020-Sep-05 00:32 A    84.3543  -5.7897
 2020-Sep-05 00:34 A    84.6643  -5.4148
 2020-Sep-05 00:36 A    84.9739  -5.0397
 2020-Sep-05 00:38 A    85.2832  -4.6643
 2020-Sep-05 00:40 A    85.5921  -4.2888
 2020-Sep-05 00:42 A    85.9007  -3.9130
 2020-Sep-05 00:44 A    86.2091  -3.5371
 2020-Sep-05 00:46 A    86.5171  -3.1610
 2020-Sep-05 00:48 A    86.8250  -2.7848
 2020-Sep-05 00:50 A    87.1326  -2.4084
 2020-Sep-05 00:52 A    87.4401  -2.0318
 2020-Sep-05 00:54 A    87.7474  -1.6552
 2020-Sep-05 00:56 A    88.0546  -1.2784
 2020-Sep-05 00:58 A    88.3617  -0.9015
 2020-Sep-05 01:00 Ar   88.6688  -0.5245
 2020-Sep-05 01:02  m   88.9757  -0.1475
 2020-Sep-05 01:04  m   89.2827   0.2297
 2020-Sep-05 01:06  m   89.5897   0.6069
 2020-Sep-05 01:08  m   89.8967   0.9841
 2020-Sep-05 01:10  m   90.2038   1.3614
 2020-Sep-05 01:12  m   90.5109   1.7387
 2020-Sep-05 01:14  m   90.8182   2.1161
 2020-Sep-05 01:16  m   91.1256   2.4935
 2020-Sep-05 01:18  m   91.4332   2.8708
 2020-Sep-05 01:20  m   91.7409   3.2482
 2020-Sep-05 01:22  m   92.0489   3.6255
 2020-Sep-05 01:24  m   92.3572   4.0028
 2020-Sep-05 01:26  m   92.6657   4.3801
 2020-Sep-05 01:28  m   92.9745   4.7573
 2020-Sep-05 01:30  m   93.2836   5.1344
 2020-Sep-05 01:32  m   93.5931   5.5115
 2020-Sep-05 01:34  m   93.9029   5.8885
 2020-Sep-05 01:36  m   94.2132   6.2653
 2020-Sep-05 01:38  m   94.5239   6.6421
 2020-Sep-05 01:40  m   94.8351   7.0188
 2020-Sep-05 01:42  m   95.1467   7.3953
 2020-Sep-05 01:44  m   95.4589   7.7717
 2020-Sep-05 01:46  m   95.7716   8.1479
 2020-Sep-05 01:48  m   96.0849   8.5240
 2020-Sep-05 01:50  m   96.3988   8.8999
 2020-Sep-05 01:52  m   96.7133   9.2756
 2020-Sep-05 01:54  m   97.0284   9.6511
 2020-Sep-05 01:56  m   97.3443  10.0264
 2020-Sep-05 01:58  m   97.6609  10.4015
 2020-Sep-05 02:00  m   97.9782  10.7764
 2020-Sep-05 02:02  m   98.2962  11.1510
 2020-Sep-05 02:04  m   98.6151  11.5253
 2020-Sep-05 02:06  m   98.9348  11.8994
 2020-Sep-05 02:08  m   99.2554  12.2732
 2020-Sep-05 02:10  m   99.5769  12.6467
 2020-Sep-05 02:12  m   99.8992  13.0199
 2020-Sep-05 02:14  m  100.2226  13.3928
 2020-Sep-05 02:16  m  100.5469  13.7653
 2020-Sep-05 02:18  m  100.8722  14.1375
 2020-Sep-05 02:20  m  101.1986  14.5093
 2020-Sep-05 02:22  m  101.5260  14.8808
 2020-Sep-05 02:24  m  101.8546  15.2519
 2020-Sep-05 02:26  m  102.1842  15.6226
 2020-Sep-05 02:28  m  102.5151  15.9929
 2020-Sep-05 02:30  m  102.8472  16.3627
 2020-Sep-05 02:32  m  103.1804  16.7321
 2020-Sep-05 02:34  m  103.5150  17.1011
 2020-Sep-05 02:36  m  103.8509  17.4696
 2020-Sep-05 02:38  m  104.1881  17.8376
 2020-Sep-05 02:40  m  104.5266  18.2051
 2020-Sep-05 02:42  m  104.8666  18.5721
 2020-Sep-05 02:44  m  105.2080  18.9385
 2020-Sep-05 02:46  m  105.5509  19.3045
 2020-Sep-05 02:48  m  105.8952  19.6698
 2020-Sep-05 02:50  m  106.2412  20.0346
 2020-Sep-05 02:52  m  106.5887  20.3988
 2020-Sep-05 02:54  m  106.9378  20.7624
 2020-Sep-05 02:56  m  107.2886  21.1254
 2020-Sep-05 02:58  m  107.6410  21.4877
 2020-Sep-05 03:00  m  107.9952  21.8494
 2020-Sep-05 03:02  m  108.3511  22.2104
 2020-Sep-05 03:04  m  108.7089  22.5707
 2020-Sep-05 03:06  m  109.0685  22.9303
 2020-Sep-05 03:08  m  109.4300  23.2892
 2020-Sep-05 03:10  m  109.7933  23.6473
 2020-Sep-05 03:12  m  110.1587  24.0047
 2020-Sep-05 03:14  m  110.5260  24.3613
