*******************************************************************************
Ephemeris / WWW_USER Mon Dec 26 18:00:24 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2020-Sep-01 00:00:00.0000 UT      
Stop  time      : A.D. 2021-Jan-02 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.161226.p170319                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-DEC-26. PREDICTS-> 2017-MAR-18
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2020-Sep-01 00:00 Cm  120.4553   7.0432
 2020-Sep-01 00:02 Nm  120.7895   7.3670
 2020-Sep-01 00:04 Nm  121.1250   7.6896
 2020-Sep-01 00:06 Nm  121.4620   8.0112
 2020-Sep-01 00:08 Nm  121.8003   8.3317
 2020-Sep-01 00:10 Nm  122.1401   8.6510
 2020-Sep-01 00:12 Nm  122.4814   8.9692
 2020-Sep-01 00:14 Nm  122.8241   9.2863
 2020-Sep-01 00:16 Nm  123.1683   9.6022
 2020-Sep-01 00:18 Nm  123.5140   9.9169
 2020-Sep-01 00:20 Nm  123.8612  10.2305
 2020-Sep-01 00:22 Nm  124.2100  10.5428
 2020-Sep-01 00:24 Nm  124.5604  10.8538
 2020-Sep-01 00:26 Nm  124.9124  11.1636
 2020-Sep-01 00:28 Nm  125.2659  11.4722
 2020-Sep-01 00:30 Nm  125.6211  11.7794
 2020-Sep-01 00:32 Nm  125.9779  12.0854
 2020-Sep-01 00:34 Am  126.3364  12.3900
 2020-Sep-01 00:36 Am  126.6966  12.6933
 2020-Sep-01 00:38 Am  127.0585  12.9952
 2020-Sep-01 00:40 Am  127.4220  13.2957
 2020-Sep-01 00:42 Am  127.7874  13.5949
 2020-Sep-01 00:44 Am  128.1545  13.8926
 2020-Sep-01 00:46 Am  128.5233  14.1889
 2020-Sep-01 00:48 Am  128.8940  14.4837
 2020-Sep-01 00:50 Am  129.2664  14.7771
 2020-Sep-01 00:52 Am  129.6407  15.0689
 2020-Sep-01 00:54 Am  130.0169  15.3592
 2020-Sep-01 00:56 Am  130.3948  15.6480
 2020-Sep-01 00:58 Am  130.7747  15.9352
 2020-Sep-01 01:00 Am  131.1565  16.2209
 2020-Sep-01 01:02 Am  131.5402  16.5049
 2020-Sep-01 01:04 Am  131.9258  16.7874
 2020-Sep-01 01:06 Am  132.3133  17.0682
 2020-Sep-01 01:08  m  132.7028  17.3473
 2020-Sep-01 01:10  m  133.0943  17.6247
 2020-Sep-01 01:12  m  133.4878  17.9004
 2020-Sep-01 01:14  m  133.8833  18.1744
 2020-Sep-01 01:16  m  134.2808  18.4467
 2020-Sep-01 01:18  m  134.6804  18.7171
 2020-Sep-01 01:20  m  135.0819  18.9858
 2020-Sep-01 01:22  m  135.4856  19.2527
 2020-Sep-01 01:24  m  135.8913  19.5177
 2020-Sep-01 01:26  m  136.2992  19.7808
 2020-Sep-01 01:28  m  136.7091  20.0420
 2020-Sep-01 01:30  m  137.1211  20.3014
 2020-Sep-01 01:32  m  137.5353  20.5588
 2020-Sep-01 01:34  m  137.9516  20.8142
 2020-Sep-01 01:36  m  138.3701  21.0676
 2020-Sep-01 01:38  m  138.7907  21.3191
 2020-Sep-01 01:40  m  139.2134  21.5685
 2020-Sep-01 01:42  m  139.6384  21.8158
 2020-Sep-01 01:44  m  140.0655  22.0611
 2020-Sep-01 01:46  m  140.4949  22.3042
 2020-Sep-01 01:48  m  140.9264  22.5452
 2020-Sep-01 01:50  m  141.3602  22.7841
 2020-Sep-01 01:52  m  141.7961  23.0208
 2020-Sep-01 01:54  m  142.2343  23.2553
 2020-Sep-01 01:56  m  142.6748  23.4875
 2020-Sep-01 01:58  m  143.1174  23.7175
 2020-Sep-01 02:00  m  143.5623  23.9452
 2020-Sep-01 02:02  m  144.0094  24.1705
 2020-Sep-01 02:04  m  144.4588  24.3936
 2020-Sep-01 02:06  m  144.9104  24.6143
 2020-Sep-01 02:08  m  145.3643  24.8326
 2020-Sep-01 02:10  m  145.8204  25.0485
 2020-Sep-01 02:12  m  146.2787  25.2619
 2020-Sep-01 02:14  m  146.7393  25.4729
 2020-Sep-01 02:16  m  147.2022  25.6814
 2020-Sep-01 02:18  m  147.6673  25.8873
 2020-Sep-01 02:20  m  148.1346  26.0908
 2020-Sep-01 02:22  m  148.6041  26.2916
 2020-Sep-01 02:24  m  149.0759  26.4899
 2020-Sep-01 02:26  m  149.5499  26.6855
 2020-Sep-01 02:28  m  150.0261  26.8785
 2020-Sep-01 02:30  m  150.5045  27.0689
 2020-Sep-01 02:32  m  150.9851  27.2565
 2020-Sep-01 02:34  m  151.4679  27.4414
 2020-Sep-01 02:36  m  151.9529  27.6235
 2020-Sep-01 02:38  m  152.4400  27.8029
 2020-Sep-01 02:40  m  152.9293  27.9794
 2020-Sep-01 02:42  m  153.4207  28.1532
 2020-Sep-01 02:44  m  153.9142  28.3241
 2020-Sep-01 02:46  m  154.4098  28.4921
 2020-Sep-01 02:48  m  154.9075  28.6572
 2020-Sep-01 02:50  m  155.4073  28.8193
 2020-Sep-01 02:52  m  155.9091  28.9786
 2020-Sep-01 02:54  m  156.4130  29.1348
 2020-Sep-01 02:56  m  156.9188  29.2880
 2020-Sep-01 02:58  m  157.4267  29.4383
 2020-Sep-01 03:00  m  157.9365  29.5854
 2020-Sep-01 03:02  m  158.4482  29.7295
 2020-Sep-01 03:04  m  158.9618  29.8705
 2020-Sep-01 03:06  m  159.4774  30.0084
 2020-Sep-01 03:08  m  159.9947  30.1431
 2020-Sep-01 03:10  m  160.5139  30.2747
 2020-Sep-01 03:12  m  161.0349  30.4031
 2020-Sep-01 03:14  m  161.5576  30.5283
 2020-Sep-01 03:16  m  162.0821  30.6502
 2020-Sep-01 03:18  m  162.6083  30.7689
 2020-Sep-01 03:20  m  163.1361  30.8843
 2020-Sep-01 03:22  m  163.6655  30.9965
 2020-Sep-01 03:24  m  164.1966  31.1053
 2020-Sep-01 03:26  m  164.7291  31.2108
