*******************************************************************************
Ephemeris / WWW_USER Sun Dec  6 16:18:11 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2020-Dec-05 00:00:00.0000 UT      
Stop  time      : A.D. 2021-Mar-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2020-Dec-05 00:00      46.1863 -13.1778
 2020-Dec-05 00:02      46.5529 -12.9140
 2020-Dec-05 00:04      46.9179 -12.6484
 2020-Dec-05 00:06      47.2814 -12.3813
 2020-Dec-05 00:08      47.6432 -12.1125
 2020-Dec-05 00:10      48.0036 -11.8421
 2020-Dec-05 00:12      48.3624 -11.5702
 2020-Dec-05 00:14      48.7196 -11.2967
 2020-Dec-05 00:16      49.0754 -11.0217
 2020-Dec-05 00:18      49.4296 -10.7451
 2020-Dec-05 00:20      49.7824 -10.4670
 2020-Dec-05 00:22      50.1336 -10.1875
 2020-Dec-05 00:24      50.4835  -9.9064
 2020-Dec-05 00:26      50.8318  -9.6239
 2020-Dec-05 00:28      51.1787  -9.3400
 2020-Dec-05 00:30      51.5242  -9.0546
 2020-Dec-05 00:32      51.8683  -8.7679
 2020-Dec-05 00:34      52.2110  -8.4797
 2020-Dec-05 00:36      52.5523  -8.1901
 2020-Dec-05 00:38      52.8922  -7.8992
 2020-Dec-05 00:40      53.2308  -7.6069
 2020-Dec-05 00:42      53.5680  -7.3133
 2020-Dec-05 00:44      53.9039  -7.0184
 2020-Dec-05 00:46      54.2385  -6.7222
 2020-Dec-05 00:48      54.5718  -6.4247
 2020-Dec-05 00:50      54.9038  -6.1259
 2020-Dec-05 00:52      55.2345  -5.8258
 2020-Dec-05 00:54      55.5639  -5.5245
 2020-Dec-05 00:56      55.8922  -5.2220
 2020-Dec-05 00:58      56.2192  -4.9183
 2020-Dec-05 01:00      56.5450  -4.6133
 2020-Dec-05 01:02      56.8696  -4.3072
 2020-Dec-05 01:04      57.1930  -3.9999
 2020-Dec-05 01:06      57.5152  -3.6914
 2020-Dec-05 01:08      57.8363  -3.3818
 2020-Dec-05 01:10      58.1563  -3.0710
 2020-Dec-05 01:12      58.4752  -2.7591
 2020-Dec-05 01:14      58.7929  -2.4461
 2020-Dec-05 01:16      59.1096  -2.1321
 2020-Dec-05 01:18      59.4252  -1.8169
 2020-Dec-05 01:20      59.7397  -1.5007
 2020-Dec-05 01:22      60.0532  -1.1834
 2020-Dec-05 01:24      60.3657  -0.8650
 2020-Dec-05 01:26  r   60.6772  -0.5457
 2020-Dec-05 01:28  m   60.9877  -0.2253
 2020-Dec-05 01:30  m   61.2972   0.0961
 2020-Dec-05 01:32  m   61.6057   0.4185
 2020-Dec-05 01:34  m   61.9134   0.7419
 2020-Dec-05 01:36  m   62.2201   1.0662
 2020-Dec-05 01:38  m   62.5258   1.3915
 2020-Dec-05 01:40  m   62.8307   1.7177
 2020-Dec-05 01:42  m   63.1348   2.0449
 2020-Dec-05 01:44  m   63.4379   2.3730
 2020-Dec-05 01:46  m   63.7403   2.7020
 2020-Dec-05 01:48  m   64.0418   3.0320
 2020-Dec-05 01:50  m   64.3425   3.3628
 2020-Dec-05 01:52  m   64.6424   3.6944
 2020-Dec-05 01:54  m   64.9415   4.0270
 2020-Dec-05 01:56  m   65.2399   4.3604
 2020-Dec-05 01:58  m   65.5375   4.6946
 2020-Dec-05 02:00  m   65.8345   5.0297
 2020-Dec-05 02:02  m   66.1307   5.3656
 2020-Dec-05 02:04  m   66.4262   5.7023
 2020-Dec-05 02:06  m   66.7211   6.0398
 2020-Dec-05 02:08  m   67.0153   6.3782
 2020-Dec-05 02:10  m   67.3089   6.7172
 2020-Dec-05 02:12  m   67.6019   7.0571
 2020-Dec-05 02:14  m   67.8943   7.3977
 2020-Dec-05 02:16  m   68.1861   7.7391
 2020-Dec-05 02:18  m   68.4773   8.0812
 2020-Dec-05 02:20  m   68.7680   8.4240
 2020-Dec-05 02:22  m   69.0582   8.7676
 2020-Dec-05 02:24  m   69.3479   9.1119
 2020-Dec-05 02:26  m   69.6371   9.4568
 2020-Dec-05 02:28  m   69.9258   9.8025
 2020-Dec-05 02:30  m   70.2141  10.1488
 2020-Dec-05 02:32  m   70.5019  10.4958
 2020-Dec-05 02:34  m   70.7893  10.8435
 2020-Dec-05 02:36  m   71.0764  11.1918
 2020-Dec-05 02:38  m   71.3630  11.5408
 2020-Dec-05 02:40  m   71.6493  11.8904
 2020-Dec-05 02:42  m   71.9353  12.2406
 2020-Dec-05 02:44  m   72.2210  12.5914
 2020-Dec-05 02:46  m   72.5063  12.9428
 2020-Dec-05 02:48  m   72.7914  13.2949
 2020-Dec-05 02:50  m   73.0762  13.6475
 2020-Dec-05 02:52  m   73.3608  14.0007
 2020-Dec-05 02:54  m   73.6452  14.3544
 2020-Dec-05 02:56  m   73.9293  14.7088
 2020-Dec-05 02:58  m   74.2133  15.0636
 2020-Dec-05 03:00  m   74.4972  15.4190
 2020-Dec-05 03:02  m   74.7809  15.7750
 2020-Dec-05 03:04  m   75.0645  16.1314
 2020-Dec-05 03:06  m   75.3480  16.4884
 2020-Dec-05 03:08  m   75.6314  16.8459
 2020-Dec-05 03:10  m   75.9148  17.2038
 2020-Dec-05 03:12  m   76.1981  17.5623
 2020-Dec-05 03:14  m   76.4815  17.9212
 2020-Dec-05 03:16  m   76.7648  18.2806
 2020-Dec-05 03:18  m   77.0482  18.6405
 2020-Dec-05 03:20  m   77.3317  19.0008
 2020-Dec-05 03:22  m   77.6152  19.3616
 2020-Dec-05 03:24  m   77.8989  19.7228
 2020-Dec-05 03:26  m   78.1827  20.0844
 2020-Dec-05 03:28  m   78.4666  20.4464
 2020-Dec-05 03:30  m   78.7508  20.8089
 2020-Dec-05 03:32  m   79.0351  21.1717
 2020-Dec-05 03:34  m   79.3196  21.5349
 2020-Dec-05 03:36  m   79.6044  21.8985
 2020-Dec-05 03:38  m   79.8895  22.2625
 2020-Dec-05 03:40  m   80.1749  22.6269
 2020-Dec-05 03:42  m   80.4606  22.9916
 2020-Dec-05 03:44  m   80.7467  23.3566
 2020-Dec-05 03:46  m   81.0332  23.7220
 2020-Dec-05 03:48  m   81.3200  24.0877
 2020-Dec-05 03:50  m   81.6073  24.4537
 2020-Dec-05 03:52  m   81.8951  24.8201
 2020-Dec-05 03:54  m   82.1833  25.1867
 2020-Dec-05 03:56  m   82.4721  25.5537
