*******************************************************************************
Ephemeris / WWW_USER Mon Dec 26 18:20:58 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2023-Sep-01 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Jan-02 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.161226.p170319                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-DEC-26. PREDICTS-> 2017-MAR-18
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2023-Sep-01 00:00 C    95.4288  -3.8489
 2023-Sep-01 00:02 N    95.7296  -3.4748
 2023-Sep-01 00:04 N    96.0306  -3.1009
 2023-Sep-01 00:06 N    96.3317  -2.7271
 2023-Sep-01 00:08 N    96.6331  -2.3535
 2023-Sep-01 00:10 N    96.9347  -1.9801
 2023-Sep-01 00:12 N    97.2366  -1.6069
 2023-Sep-01 00:14 N    97.5387  -1.2338
 2023-Sep-01 00:16 N    97.8412  -0.8610
 2023-Sep-01 00:18 Nr   98.1440  -0.4884
 2023-Sep-01 00:20 Nm   98.4472  -0.1160
 2023-Sep-01 00:22 Nm   98.7507   0.2562
 2023-Sep-01 00:24 Nm   99.0547   0.6281
 2023-Sep-01 00:26 Nm   99.3592   0.9998
 2023-Sep-01 00:28 Nm   99.6640   1.3712
 2023-Sep-01 00:30 Nm   99.9694   1.7423
 2023-Sep-01 00:32 Nm  100.2753   2.1131
 2023-Sep-01 00:34 Nm  100.5817   2.4836
 2023-Sep-01 00:36 Am  100.8887   2.8538
 2023-Sep-01 00:38 Am  101.1963   3.2237
 2023-Sep-01 00:40 Am  101.5045   3.5933
 2023-Sep-01 00:42 Am  101.8133   3.9625
 2023-Sep-01 00:44 Am  102.1228   4.3313
 2023-Sep-01 00:46 Am  102.4330   4.6998
 2023-Sep-01 00:48 Am  102.7440   5.0679
 2023-Sep-01 00:50 Am  103.0556   5.4356
 2023-Sep-01 00:52 Am  103.3680   5.8029
 2023-Sep-01 00:54 Am  103.6813   6.1698
 2023-Sep-01 00:56 Am  103.9953   6.5363
 2023-Sep-01 00:58 Am  104.3102   6.9023
 2023-Sep-01 01:00 Am  104.6259   7.2679
 2023-Sep-01 01:02 Am  104.9426   7.6330
 2023-Sep-01 01:04 Am  105.2602   7.9977
 2023-Sep-01 01:06 Am  105.5787   8.3618
 2023-Sep-01 01:08 Am  105.8982   8.7255
 2023-Sep-01 01:10  m  106.2187   9.0886
 2023-Sep-01 01:12  m  106.5403   9.4512
 2023-Sep-01 01:14  m  106.8629   9.8133
 2023-Sep-01 01:16  m  107.1866  10.1748
 2023-Sep-01 01:18  m  107.5114  10.5358
 2023-Sep-01 01:20  m  107.8374  10.8962
 2023-Sep-01 01:22  m  108.1645  11.2560
 2023-Sep-01 01:24  m  108.4928  11.6151
 2023-Sep-01 01:26  m  108.8223  11.9737
 2023-Sep-01 01:28  m  109.1531  12.3316
 2023-Sep-01 01:30  m  109.4852  12.6889
 2023-Sep-01 01:32  m  109.8186  13.0455
 2023-Sep-01 01:34  m  110.1533  13.4014
 2023-Sep-01 01:36  m  110.4894  13.7567
 2023-Sep-01 01:38  m  110.8269  14.1112
 2023-Sep-01 01:40  m  111.1658  14.4650
 2023-Sep-01 01:42  m  111.5061  14.8180
 2023-Sep-01 01:44  m  111.8480  15.1704
 2023-Sep-01 01:46  m  112.1913  15.5219
 2023-Sep-01 01:48  m  112.5362  15.8726
 2023-Sep-01 01:50  m  112.8827  16.2226
 2023-Sep-01 01:52  m  113.2308  16.5717
 2023-Sep-01 01:54  m  113.5805  16.9200
 2023-Sep-01 01:56  m  113.9318  17.2674
 2023-Sep-01 01:58  m  114.2849  17.6140
 2023-Sep-01 02:00  m  114.6397  17.9596
 2023-Sep-01 02:02  m  114.9962  18.3044
 2023-Sep-01 02:04  m  115.3545  18.6482
 2023-Sep-01 02:06  m  115.7147  18.9911
 2023-Sep-01 02:08  m  116.0767  19.3330
 2023-Sep-01 02:10  m  116.4406  19.6740
 2023-Sep-01 02:12  m  116.8063  20.0139
 2023-Sep-01 02:14  m  117.1741  20.3528
 2023-Sep-01 02:16  m  117.5438  20.6907
 2023-Sep-01 02:18  m  117.9155  21.0276
 2023-Sep-01 02:20  m  118.2893  21.3633
 2023-Sep-01 02:22  m  118.6651  21.6980
 2023-Sep-01 02:24  m  119.0431  22.0315
 2023-Sep-01 02:26  m  119.4231  22.3639
 2023-Sep-01 02:28  m  119.8054  22.6951
 2023-Sep-01 02:30  m  120.1899  23.0251
 2023-Sep-01 02:32  m  120.5766  23.3540
 2023-Sep-01 02:34  m  120.9655  23.6816
 2023-Sep-01 02:36  m  121.3568  24.0079
 2023-Sep-01 02:38  m  121.7504  24.3330
 2023-Sep-01 02:40  m  122.1464  24.6568
 2023-Sep-01 02:42  m  122.5448  24.9793
 2023-Sep-01 02:44  m  122.9457  25.3004
 2023-Sep-01 02:46  m  123.3490  25.6201
 2023-Sep-01 02:48  m  123.7548  25.9385
 2023-Sep-01 02:50  m  124.1632  26.2554
 2023-Sep-01 02:52  m  124.5742  26.5709
 2023-Sep-01 02:54  m  124.9877  26.8850
 2023-Sep-01 02:56  m  125.4039  27.1975
 2023-Sep-01 02:58  m  125.8228  27.5085
 2023-Sep-01 03:00  m  126.2444  27.8180
 2023-Sep-01 03:02  m  126.6687  28.1258
 2023-Sep-01 03:04  m  127.0958  28.4321
 2023-Sep-01 03:06  m  127.5258  28.7368
 2023-Sep-01 03:08  m  127.9585  29.0398
 2023-Sep-01 03:10  m  128.3942  29.3411
 2023-Sep-01 03:12  m  128.8327  29.6407
 2023-Sep-01 03:14  m  129.2742  29.9385
 2023-Sep-01 03:16  m  129.7187  30.2346
 2023-Sep-01 03:18  m  130.1662  30.5289
 2023-Sep-01 03:20  m  130.6167  30.8213
 2023-Sep-01 03:22  m  131.0703  31.1118
 2023-Sep-01 03:24  m  131.5270  31.4005
 2023-Sep-01 03:26  m  131.9869  31.6872
 2023-Sep-01 03:28  m  132.4499  31.9720
