 20190501 00:00    309.2662 -45.4933
 20190501 00:02    309.8201 -45.7724
 20190501 00:04    310.3793 -46.0492
 20190501 00:06    310.9436 -46.3235
 20190501 00:08    311.5131 -46.5955
 20190501 00:10    312.0880 -46.8650
 20190501 00:12    312.6682 -47.1319
 20190501 00:14    313.2538 -47.3963
 20190501 00:16    313.8449 -47.6581
 20190501 00:18    314.4415 -47.9171
 20190501 00:20    315.0437 -48.1735
 20190501 00:22    315.6515 -48.4270
 20190501 00:24    316.2649 -48.6778
 20190501 00:26    316.8841 -48.9256
 20190501 00:28    317.5090 -49.1705
 20190501 00:30    318.1397 -49.4124
 20190501 00:32    318.7762 -49.6512
 20190501 00:34    319.4186 -49.8869
 20190501 00:36    320.0669 -50.1194
 20190501 00:38    320.7210 -50.3486
 20190501 00:40    321.3811 -50.5746
 20190501 00:42    322.0472 -50.7972
 20190501 00:44    322.7192 -51.0164
 20190501 00:46    323.3971 -51.2321
 20190501 00:48    324.0811 -51.4443
 20190501 00:50    324.7711 -51.6529
 20190501 00:52    325.4670 -51.8578
 20190501 00:54    326.1689 -52.0590
 20190501 00:56    326.8767 -52.2564
 20190501 00:58    327.5905 -52.4499
 20190501 01:00    328.3103 -52.6395
 20190501 01:02    329.0359 -52.8252
 20190501 01:04    329.7673 -53.0068
 20190501 01:06    330.5046 -53.1843
 20190501 01:08    331.2476 -53.3577
 20190501 01:10    331.9963 -53.5268
 20190501 01:12    332.7507 -53.6917
 20190501 01:14    333.5106 -53.8522
 20190501 01:16    334.2760 -54.0083
 20190501 01:18    335.0469 -54.1600
 20190501 01:20    335.8231 -54.3071
 20190501 01:22    336.6045 -54.4496
 20190501 01:24    337.3910 -54.5875
 20190501 01:26    338.1826 -54.7207
 20190501 01:28    338.9790 -54.8492
 20190501 01:30    339.7803 -54.9728
 20190501 01:32    340.5862 -55.0916
 20190501 01:34    341.3966 -55.2055
 20190501 01:36    342.2113 -55.3144
 20190501 01:38     343.0302 -55.4184
 20190501 01:40     343.8532 -55.5172
 20190501 01:42     344.6801 -55.6110
 20190501 01:44     345.5106 -55.6996
 20190501 01:46     346.3447 -55.7831
 20190501 01:48     347.1821 -55.8613
 20190501 01:50     348.0226 -55.9343
 20190501 01:52     348.8661 -56.0019
 20190501 01:54     349.7123 -56.0643
 20190501 01:56     350.5610 -56.1212
 20190501 01:58     351.4121 -56.1728
 20190501 02:00     352.2652 -56.2190
 20190501 02:02     353.1202 -56.2598
 20190501 02:04     353.9768 -56.2950
 20190501 02:06     354.8349 -56.3249
 20190501 02:08     355.6941 -56.3492
 20190501 02:10     356.5543 -56.3680
 20190501 02:12     357.4151 -56.3813
 20190501 02:14     358.2765 -56.3891
 20190501 02:16     359.1380 -56.3914
 20190501 02:18     359.9996 -56.3881
 20190501 02:20       0.8609 -56.3793
 20190501 02:22       1.7217 -56.3650
 20190501 02:24       2.5818 -56.3452
 20190501 02:26       3.4409 -56.3198
 20190501 02:28       4.2988 -56.2890
 20190501 02:30       5.1552 -56.2527
 20190501 02:32       6.0101 -56.2109
 20190501 02:34       6.8630 -56.1637
 20190501 02:36       7.7138 -56.1111
 20190501 02:38       8.5622 -56.0531
 20190501 02:40       9.4081 -55.9897
 20190501 02:42      10.2513 -55.9210
 20190501 02:44      11.0915 -55.8469
 20190501 02:46      11.9285 -55.7676
 20190501 02:48      12.7622 -55.6831
 20190501 02:50      13.5923 -55.5934
 20190501 02:52      14.4187 -55.4985
 20190501 02:54      15.2412 -55.3985
 20190501 02:56      16.0597 -55.2935
 20190501 02:58      16.8739 -55.1834
 20190501 03:00      17.6837 -55.0683
 20190501 03:02      18.4890 -54.9484
 20190501 03:04      19.2896 -54.8235
 20190501 03:06      20.0854 -54.6938
 20190501 03:08      20.8763 -54.5594
 20190501 03:10      21.6621 -54.4203
 20190501 03:12      22.4428 -54.2765
 20190501 03:14      23.2182 -54.1281
 20190501 03:16      23.9883 -53.9751
 20190501 03:18      24.7529 -53.8177
 20190501 03:20      25.5119 -53.6558
 20190501 03:22      26.2654 -53.4896
 20190501 03:24      27.0132 -53.3191
 20190501 03:26      27.7553 -53.1443
 20190501 03:28      28.4915 -52.9654
 20190501 03:30      29.2220 -52.7823
 20190501 03:32      29.9465 -52.5952
 20190501 03:34      30.6651 -52.4041
 20190501 03:36      31.3778 -52.2090
 20190501 03:38      32.0845 -52.0101
 20190501 03:40      32.7852 -51.8073
 20190501 03:42      33.4799 -51.6009
 20190501 03:44      34.1686 -51.3907
 20190501 03:46      34.8513 -51.1769
 20190501 03:48      35.5279 -50.9595
 20190501 03:50      36.1986 -50.7386
 20190501 03:52      36.8632 -50.5143
 20190501 03:54      37.5219 -50.2866
 20190501 03:56      38.1746 -50.0555
 20190501 03:58      38.8214 -49.8212
 20190501 04:00      39.4622 -49.5837
 20190501 04:02      40.0971 -49.3430
 20190501 04:04      40.7262 -49.0993
 20190501 04:06      41.3495 -48.8525
 20190501 04:08      41.9670 -48.6027
 20190501 04:10      42.5787 -48.3500
 20190501 04:12      43.1847 -48.0944
 20190501 04:14      43.7851 -47.8361
 20190501 04:16      44.3799 -47.5749
 20190501 04:18      44.9691 -47.3111
 20190501 04:20      45.5528 -47.0446
 20190501 04:22      46.1311 -46.7754
 20190501 04:24      46.7039 -46.5038
 20190501 04:26      47.2715 -46.2296
 20190501 04:28      47.8337 -45.9530
 20190501 04:30      48.3907 -45.6739
 20190501 04:32      48.9426 -45.3925
 20190501 04:34      49.4893 -45.1088
 20190501 04:36      50.0310 -44.8228
 20190501 04:38      50.5677 -44.5346
 20190501 04:40      51.0995 -44.2443
 20190501 04:42      51.6265 -43.9518
 20190501 04:44      52.1487 -43.6572
 20190501 04:46      52.6661 -43.3605
 20190501 04:48      53.1789 -43.0619
 20190501 04:50      53.6870 -42.7612
 20190501 04:52      54.1907 -42.4587
 20190501 04:54      54.6898 -42.1543
 20190501 04:56      55.1846 -41.8480
 20190501 04:58      55.6750 -41.5399
 20190501 05:00      56.1612 -41.2300
 20190501 05:02      56.6431 -40.9184
 20190501 05:04      57.1210 -40.6051
 20190501 05:06      57.5947 -40.2902
 20190501 05:08      58.0644 -39.9736
 20190501 05:10      58.5302 -39.6554
 20190501 05:12      58.9920 -39.3357
 20190501 05:14      59.4501 -39.0144
 20190501 05:16      59.9044 -38.6916
 20190501 05:18      60.3549 -38.3674
 20190501 05:20      60.8019 -38.0417
 20190501 05:22      61.2453 -37.7146
 20190501 05:24      61.6851 -37.3862
 20190501 05:26      62.1215 -37.0564
 20190501 05:28      62.5545 -36.7252
 20190501 05:30      62.9842 -36.3928
 20190501 05:32      63.4105 -36.0592
 20190501 05:34      63.8337 -35.7243
 20190501 05:36      64.2537 -35.3882
 20190501 05:38      64.6706 -35.0509
 20190501 05:40      65.0844 -34.7124
 20190501 05:42      65.4952 -34.3728
 20190501 05:44      65.9031 -34.0321
 20190501 05:46      66.3081 -33.6904
 20190501 05:48      66.7103 -33.3476
 20190501 05:50      67.1097 -33.0037
 20190501 05:52      67.5064 -32.6588
 20190501 05:54      67.9004 -32.3129
 20190501 05:56      68.2918 -31.9661
 20190501 05:58      68.6806 -31.6183
 20190501 06:00      69.0669 -31.2696
 20190501 06:02      69.4507 -30.9200
 20190501 06:04      69.8321 -30.5695
 20190501 06:06      70.2111 -30.2182
 20190501 06:08      70.5878 -29.8660
 20190501 06:10      70.9622 -29.5130
 20190501 06:12      71.3344 -29.1591
 20190501 06:14      71.7044 -28.8045
 20190501 06:16      72.0722 -28.4491
 20190501 06:18      72.4380 -28.0930
 20190501 06:20      72.8017 -27.7361
 20190501 06:22      73.1634 -27.3786
 20190501 06:24      73.5231 -27.0203
 20190501 06:26      73.8809 -26.6613
 20190501 06:28      74.2369 -26.3017
 20190501 06:30      74.5910 -25.9415
 20190501 06:32      74.9433 -25.5806
 20190501 06:34      75.2938 -25.2191
 20190501 06:36      75.6426 -24.8570
 20190501 06:38      75.9898 -24.4943
 20190501 06:40      76.3353 -24.1310
 20190501 06:42      76.6792 -23.7672
 20190501 06:44      77.0216 -23.4029
 20190501 06:46      77.3624 -23.0380
 20190501 06:48      77.7018 -22.6727
 20190501 06:50      78.0397 -22.3068
 20190501 06:52      78.3762 -21.9405
 20190501 06:54      78.7113 -21.5737
 20190501 06:56      79.0451 -21.2064
 20190501 06:58      79.3776 -20.8387
 20190501 07:00      79.7088 -20.4706
 20190501 07:02      80.0388 -20.1021
 20190501 07:04      80.3676 -19.7331
 20190501 07:06      80.6952 -19.3638
 20190501 07:08      81.0217 -18.9941
 20190501 07:10      81.3471 -18.6241
 20190501 07:12      81.6714 -18.2537
 20190501 07:14      81.9947 -17.8829
 20190501 07:16      82.3170 -17.5119
 20190501 07:18      82.6384 -17.1405
 20190501 07:20      82.9588 -16.7688
 20190501 07:22      83.2783 -16.3969
 20190501 07:24      83.5969 -16.0247
 20190501 07:26      83.9147 -15.6522
 20190501 07:28      84.2317 -15.2794
 20190501 07:30      84.5478 -14.9065
 20190501 07:32      84.8633 -14.5332
 20190501 07:34      85.1780 -14.1598
 20190501 07:36      85.4920 -13.7862
 20190501 07:38      85.8054 -13.4124
 20190501 07:40      86.1181 -13.0383
 20190501 07:42      86.4303 -12.6642
 20190501 07:44      86.7418 -12.2898
 20190501 07:46      87.0528 -11.9153
 20190501 07:48      87.3633 -11.5407
 20190501 07:50      87.6733 -11.1659
 20190501 07:52      87.9828 -10.7910
 20190501 07:54      88.2919 -10.4160
 20190501 07:56      88.6006 -10.0409
 20190501 07:58      88.9089  -9.6657
 20190501 08:00      89.2169  -9.2905
 20190501 08:02      89.5245  -8.9152
 20190501 08:04      89.8319  -8.5398
 20190501 08:06      90.1389  -8.1644
 20190501 08:08      90.4457  -7.7889
