 20220101 00:00     276.4307 -47.0503
 20220101 00:02     276.7777 -47.4125
 20220101 00:04     277.1277 -47.7744
 20220101 00:06     277.4807 -48.1360
 20220101 00:08     277.8367 -48.4973
 20220101 00:10     278.1960 -48.8582
 20220101 00:12     278.5585 -49.2188
 20220101 00:14     278.9244 -49.5791
 20220101 00:16     279.2938 -49.9389
 20220101 00:18     279.6668 -50.2984
 20220101 00:20     280.0434 -50.6574
 20220101 00:22     280.4239 -51.0160
 20220101 00:24     280.8083 -51.3741
 20220101 00:26     281.1967 -51.7318
 20220101 00:28     281.5892 -52.0889
 20220101 00:30     281.9861 -52.4456
 20220101 00:32     282.3873 -52.8017
 20220101 00:34     282.7931 -53.1572
 20220101 00:36     283.2036 -53.5121
 20220101 00:38     283.6188 -53.8664
 20220101 00:40     284.0391 -54.2201
 20220101 00:42     284.4645 -54.5731
 20220101 00:44     284.8951 -54.9254
 20220101 00:46     285.3312 -55.2770
 20220101 00:48     285.7728 -55.6279
 20220101 00:50     286.2203 -55.9780
 20220101 00:52     286.6737 -56.3272
 20220101 00:54     287.1332 -56.6756
 20220101 00:56     287.5991 -57.0232
 20220101 00:58     288.0715 -57.3698
 20220101 01:00     288.5506 -57.7155
 20220101 01:02     289.0366 -58.0603
 20220101 01:04     289.5298 -58.4040
 20220101 01:06     290.0304 -58.7466
 20220101 01:08     290.5386 -59.0881
 20220101 01:10     291.0547 -59.4286
 20220101 01:12     291.5788 -59.7678
 20220101 01:14     292.1113 -60.1057
 20220101 01:16     292.6524 -60.4424
 20220101 01:18     293.2024 -60.7778
 20220101 01:20     293.7616 -61.1118
 20220101 01:22     294.3302 -61.4444
 20220101 01:24     294.9086 -61.7754
 20220101 01:26     295.4971 -62.1049
 20220101 01:28     296.0960 -62.4328
 20220101 01:30     296.7056 -62.7590
 20220101 01:32     297.3263 -63.0835
 20220101 01:34     297.9584 -63.4061
 20220101 01:36     298.6023 -63.7269
 20220101 01:38     299.2584 -64.0457
 20220101 01:40     299.9270 -64.3625
 20220101 01:42     300.6085 -64.6771
 20220101 01:44     301.3034 -64.9896
 20220101 01:46     302.0120 -65.2997
 20220101 01:48     302.7348 -65.6075
 20220101 01:50     303.4722 -65.9128
 20220101 01:52     304.2247 -66.2155
 20220101 01:54     304.9927 -66.5155
 20220101 01:56     305.7767 -66.8127
 20220101 01:58     306.5771 -67.1070
 20220101 02:00     307.3944 -67.3983
 20220101 02:02     308.2292 -67.6865
 20220101 02:04     309.0818 -67.9713
 20220101 02:06     309.9528 -68.2528
 20220101 02:08     310.8428 -68.5307
 20220101 02:10     311.7521 -68.8049
 20220101 02:12     312.6812 -69.0753
 20220101 02:14     313.6308 -69.3416
 20220101 02:16     314.6011 -69.6038
 20220101 02:18     315.5928 -69.8617
 20220101 02:20     316.6062 -70.1151
 20220101 02:22     317.6419 -70.3639
 20220101 02:24     318.7002 -70.6077
 20220101 02:26     319.7815 -70.8466
 20220101 02:28     320.8862 -71.0802
 20220101 02:30     322.0147 -71.3083
 20220101 02:32     323.1672 -71.5309
 20220101 02:34     324.3439 -71.7475
 20220101 02:36     325.5451 -71.9581
 20220101 02:38     326.7709 -72.1625
 20220101 02:40     328.0213 -72.3603
 20220101 02:42     329.2965 -72.5514
 20220101 02:44     330.5962 -72.7355
 20220101 02:46     331.9203 -72.9125
 20220101 02:48     333.2687 -73.0821
 20220101 02:50     334.6409 -73.2440
 20220101 02:52     336.0364 -73.3981
 20220101 02:54     337.4548 -73.5441
 20220101 02:56     338.8954 -73.6819
 20220101 02:58     340.3573 -73.8111
 20220101 03:00     341.8397 -73.9316
 20220101 03:02     343.3416 -74.0431
 20220101 03:04     344.8618 -74.1456
 20220101 03:06     346.3991 -74.2388
 20220101 03:08     347.9522 -74.3226
 20220101 03:10     349.5194 -74.3968
 20220101 03:12     351.0993 -74.4612
 20220101 03:14     352.6903 -74.5158
 20220101 03:16     354.2905 -74.5604
 20220101 03:18     355.8981 -74.5949
 20220101 03:20     357.5114 -74.6194
 20220101 03:22     359.1283 -74.6337
 20220101 03:24       0.7469 -74.6378
 20220101 03:26       2.3652 -74.6317
 20220101 03:28       3.9814 -74.6154
 20220101 03:30       5.5934 -74.5890
 20220101 03:32       7.1994 -74.5525
 20220101 03:34       8.7975 -74.5060
 20220101 03:36      10.3858 -74.4495
 20220101 03:38      11.9627 -74.3833
 20220101 03:40      13.5266 -74.3073
 20220101 03:42      15.0758 -74.2218
 20220101 03:44      16.6090 -74.1269
 20220101 03:46      18.1248 -74.0227
 20220101 03:48      19.6219 -73.9096
 20220101 03:50      21.0994 -73.7875
 20220101 03:52      22.5561 -73.6569
 20220101 03:54      23.9912 -73.5178
 20220101 03:56      25.4041 -73.3705
 20220101 03:58      26.7939 -73.2151
 20220101 04:00      28.1602 -73.0520
 20220101 04:02      29.5027 -72.8814
 20220101 04:04      30.8209 -72.7034
 20220101 04:06      32.1146 -72.5183
 20220101 04:08      33.3837 -72.3264
 20220101 04:10      34.6281 -72.1278
 20220101 04:12      35.8479 -71.9228
 20220101 04:14      37.0432 -71.7116
 20220101 04:16      38.2140 -71.4944
 20220101 04:18      39.3607 -71.2714
 20220101 04:20      40.4834 -71.0429
 20220101 04:22      41.5825 -70.8090
 20220101 04:24      42.6582 -70.5700
 20220101 04:26      43.7111 -70.3260
 20220101 04:28      44.7415 -70.0772
 20220101 04:30      45.7498 -69.8238
 20220101 04:32      46.7364 -69.5660
 20220101 04:34      47.7019 -69.3040
 20220101 04:36      48.6466 -69.0378
 20220101 04:38      49.5712 -68.7678
 20220101 04:40      50.4760 -68.4939
 20220101 04:42      51.3616 -68.2165
 20220101 04:44      52.2284 -67.9355
 20220101 04:46      53.0770 -67.6512
 20220101 04:48      53.9078 -67.3637
 20220101 04:50      54.7213 -67.0731
 20220101 04:52      55.5181 -66.7796
 20220101 04:54      56.2986 -66.4832
 20220101 04:56      57.0632 -66.1841
 20220101 04:58      57.8124 -65.8823
 20220101 05:00      58.5467 -65.5780
 20220101 05:02      59.2665 -65.2713
 20220101 05:04      59.9723 -64.9623
 20220101 05:06      60.6644 -64.6510
 20220101 05:08      61.3433 -64.3375
 20220101 05:10      62.0094 -64.0221
 20220101 05:12      62.6631 -63.7046
 20220101 05:14      63.3047 -63.3852
 20220101 05:16      63.9346 -63.0640
 20220101 05:18      64.5533 -62.7410
 20220101 05:20      65.1609 -62.4163
 20220101 05:22      65.7579 -62.0900
 20220101 05:24      66.3447 -61.7622
 20220101 05:26      66.9214 -61.4328
 20220101 05:28      67.4885 -61.1020
 20220101 05:30      68.0462 -60.7698
 20220101 05:32      68.5948 -60.4363
 20220101 05:34      69.1346 -60.1015
 20220101 05:36      69.6658 -59.7654
 20220101 05:38      70.1888 -59.4282
 20220101 05:40      70.7038 -59.0898
 20220101 05:42      71.2110 -58.7503
 20220101 05:44      71.7106 -58.4098
 20220101 05:46      72.2030 -58.0683
 20220101 05:48      72.6882 -57.7258
 20220101 05:50      73.1666 -57.3823
 20220101 05:52      73.6384 -57.0380
 20220101 05:54      74.1037 -56.6928
 20220101 05:56      74.5627 -56.3468
 20220101 05:58      75.0156 -55.9999
 20220101 06:00      75.4627 -55.6523
 20220101 06:02      75.9040 -55.3040
 20220101 06:04      76.3398 -54.9550
 20220101 06:06      76.7703 -54.6053
 20220101 06:08      77.1955 -54.2549
 20220101 06:10      77.6156 -53.9040
 20220101 06:12      78.0308 -53.5524
 20220101 06:14      78.4413 -53.2003
 20220101 06:16      78.8471 -52.8476
 20220101 06:18      79.2484 -52.4944
 20220101 06:20      79.6454 -52.1407
 20220101 06:22      80.0382 -51.7865
 20220101 06:24      80.4268 -51.4318
 20220101 06:26      80.8115 -51.0768
 20220101 06:28      81.1922 -50.7213
 20220101 06:30      81.5693 -50.3654
 20220101 06:32      81.9426 -50.0091
 20220101 06:34      82.3125 -49.6525
 20220101 06:36      82.6789 -49.2955
 20220101 06:38      83.0419 -48.9382
 20220101 06:40      83.4017 -48.5807
 20220101 06:42      83.7584 -48.2228
 20220101 06:44      84.1120 -47.8646
 20220101 06:46      84.4626 -47.5062
 20220101 06:48      84.8104 -47.1475
 20220101 06:50      85.1554 -46.7886
 20220101 06:52      85.4976 -46.4295
 20220101 06:54      85.8372 -46.0702
 20220101 06:56      86.1743 -45.7108
 20220101 06:58      86.5088 -45.3511
 20220101 07:00      86.8410 -44.9913
 20220101 07:02      87.1708 -44.6313
 20220101 07:04      87.4983 -44.2712
 20220101 07:06      87.8236 -43.9110
 20220101 07:08      88.1468 -43.5507
 20220101 07:10      88.4679 -43.1903
 20220101 07:12      88.7870 -42.8298
 20220101 07:14      89.1042 -42.4692
 20220101 07:16      89.4194 -42.1085
 20220101 07:18      89.7328 -41.7478
 20220101 07:20      90.0445 -41.3871
 20220101 07:22      90.3543 -41.0264
 20220101 07:24      90.6626 -40.6656
 20220101 07:26      90.9692 -40.3048
 20220101 07:28      91.2742 -39.9440
 20220101 07:30      91.5777 -39.5832
 20220101 07:32      91.8797 -39.2225
 20220101 07:34      92.1803 -38.8618
 20220101 07:36      92.4795 -38.5011
 20220101 07:38      92.7774 -38.1404
 20220101 07:40      93.0740 -37.7799
 20220101 07:42      93.3693 -37.4194
 20220101 07:44      93.6634 -37.0590
 20220101 07:46      93.9564 -36.6986
 20220101 07:48      94.2482 -36.3384
 20220101 07:50      94.5389 -35.9783
 20220101 07:52      94.8286 -35.6182
 20220101 07:54      95.1173 -35.2583
 20220101 07:56      95.4050 -34.8986
 20220101 07:58      95.6918 -34.5390
 20220101 08:00      95.9776 -34.1795
 20220101 08:02      96.2626 -33.8202
 20220101 08:04      96.5468 -33.4610
 20220101 08:06      96.8301 -33.1020
 20220101 08:08      97.1127 -32.7432
 20220101 08:10      97.3946 -32.3846
 20220101 08:12      97.6757 -32.0262
 20220101 08:14      97.9562 -31.6680
 20220101 08:16      98.2360 -31.3100
 20220101 08:18      98.5152 -30.9523
 20220101 08:20      98.7939 -30.5947
 20220101 08:22      99.0719 -30.2374
 20220101 08:24      99.3495 -29.8804
 20220101 08:26      99.6265 -29.5236
 20220101 08:28      99.9031 -29.1670
 20220101 08:30     100.1793 -28.8108
 20220101 08:32     100.4550 -28.4548
 20220101 08:34     100.7303 -28.0991
 20220101 08:36     101.0053 -27.7437
 20220101 08:38     101.2799 -27.3886
 20220101 08:40     101.5542 -27.0338
 20220101 08:42     101.8282 -26.6793
 20220101 08:44     102.1020 -26.3251
 20220101 08:46     102.3755 -25.9713
 20220101 08:48     102.6488 -25.6178
 20220101 08:50     102.9219 -25.2647
 20220101 08:52     103.1948 -24.9119
 20220101 08:54     103.4676 -24.5595
 20220101 08:56     103.7402 -24.2074
 20220101 08:58     104.0128 -23.8558
 20220101 09:00     104.2852 -23.5045
 20220101 09:02     104.5576 -23.1536
 20220101 09:04     104.8300 -22.8032
 20220101 09:06     105.1023 -22.4531
 20220101 09:08     105.3746 -22.1034
 20220101 09:10     105.6470 -21.7542
 20220101 09:12     105.9194 -21.4055
 20220101 09:14     106.1919 -21.0571
 20220101 09:16     106.4644 -20.7092
 20220101 09:18     106.7370 -20.3618
 20220101 09:20     107.0098 -20.0149
 20220101 09:22     107.2827 -19.6684
 20220101 09:24     107.5558 -19.3224
 20220101 09:26     107.8290 -18.9769
 20220101 09:28     108.1025 -18.6319
 20220101 09:30     108.3761 -18.2874
 20220101 09:32     108.6500 -17.9434
 20220101 09:34     108.9242 -17.6000
 20220101 09:36     109.1986 -17.2571
 20220101 09:38     109.4733 -16.9147
 20220101 09:40     109.7483 -16.5729
 20220101 09:42     110.0237 -16.2317
 20220101 09:44     110.2994 -15.8910
 20220101 09:46     110.5754 -15.5509
 20220101 09:48     110.8519 -15.2114
 20220101 09:50     111.1287 -14.8725
 20220101 09:52     111.4059 -14.5342
 20220101 09:54     111.6836 -14.1965
 20220101 09:56     111.9617 -13.8594
 20220101 09:58     112.2402 -13.5230
 20220101 10:00     112.5193 -13.1872
 20220101 10:02     112.7988 -12.8521
 20220101 10:04     113.0789 -12.5176
 20220101 10:06     113.3595 -12.1838
 20220101 10:08     113.6406 -11.8507
 20220101 10:10     113.9223 -11.5183
 20220101 10:12     114.2046 -11.1866
 20220101 10:14     114.4874 -10.8555
 20220101 10:16     114.7709 -10.5252
 20220101 10:18     115.0550 -10.1957
 20220101 10:20     115.3397  -9.8669
 20220101 10:22     115.6251  -9.5388
 20220101 10:24     115.9112  -9.2115
 20220101 10:26     116.1979  -8.8849
 20220101 10:28     116.4854  -8.5592
 20220101 10:30     116.7735  -8.2342
 20220101 10:32     117.0624  -7.9100
 20220101 10:34     117.3521  -7.5867
 20220101 10:36     117.6425  -7.2642
 20220101 10:38     117.9337  -6.9425
 20220101 10:40     118.2257  -6.6216
 20220101 10:42     118.5185  -6.3016
 20220101 10:44     118.8121  -5.9825
 20220101 10:46    119.1066  -5.6643
 20220101 10:48    119.4019  -5.3469
 20220101 10:50    119.6981  -5.0305
 20220101 10:52    119.9951  -4.7149
 20220101 10:54    120.2931  -4.4003
 20220101 10:56    120.5919  -4.0867
 20220101 10:58    120.8917  -3.7739
 20220101 11:00    121.1925  -3.4622
 20220101 11:02    121.4941  -3.1514
 20220101 11:04    121.7968  -2.8416
 20220101 11:06    122.1004  -2.5328
 20220101 11:08    122.4051  -2.2250
 20220101 11:10    122.7107  -1.9182
 20220101 11:12    123.0174  -1.6125
 20220101 11:14    123.3251  -1.3078
 20220101 11:16    123.6338  -1.0041
 20220101 11:18 r  123.9436  -0.7016
 20220101 11:20   124.2545  -0.4001
 20220101 11:22   124.5665  -0.0997
 20220101 11:24   124.8796   0.1995
 20220101 11:26   125.1938   0.4977
 20220101 11:28   125.5092   0.7947
 20220101 11:30   125.8256   1.0905
 20220101 11:32   126.1433   1.3852
 20220101 11:34   126.4621   1.6787
 20220101 11:36   126.7821   1.9710
 20220101 11:38   127.1033   2.2621
