*******************************************************************************
Ephemeris / WWW_USER Sat Dec  5 21:11:06 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2017-Mar-05 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Jun-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 282.150000,40.7600000,0.3520000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 282.150000,4838.30099,4142.5016 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2017-Mar-05 00:00 Nm  217.4085  60.8258
 2017-Mar-05 00:02 Nm  218.2493  60.6017
 2017-Mar-05 00:04 Nm  219.0795  60.3733
 2017-Mar-05 00:06 Am  219.8990  60.1408
 2017-Mar-05 00:08 Am  220.7080  59.9043
 2017-Mar-05 00:10 Am  221.5065  59.6638
 2017-Mar-05 00:12 Am  222.2946  59.4195
 2017-Mar-05 00:14 Am  223.0724  59.1714
 2017-Mar-05 00:16 Am  223.8400  58.9197
 2017-Mar-05 00:18 Am  224.5975  58.6644
 2017-Mar-05 00:20 Am  225.3450  58.4056
 2017-Mar-05 00:22 Am  226.0826  58.1435
 2017-Mar-05 00:24 Am  226.8105  57.8781
 2017-Mar-05 00:26 Am  227.5288  57.6095
 2017-Mar-05 00:28 Am  228.2376  57.3378
 2017-Mar-05 00:30 Am  228.9370  57.0630
 2017-Mar-05 00:32 Am  229.6273  56.7853
 2017-Mar-05 00:34 Am  230.3085  56.5047
 2017-Mar-05 00:36 Am  230.9808  56.2214
 2017-Mar-05 00:38  m  231.6443  55.9353
 2017-Mar-05 00:40  m  232.2991  55.6466
 2017-Mar-05 00:42  m  232.9455  55.3553
 2017-Mar-05 00:44  m  233.5836  55.0615
 2017-Mar-05 00:46  m  234.2134  54.7653
 2017-Mar-05 00:48  m  234.8353  54.4667
 2017-Mar-05 00:50  m  235.4492  54.1658
 2017-Mar-05 00:52  m  236.0554  53.8627
 2017-Mar-05 00:54  m  236.6539  53.5574
 2017-Mar-05 00:56  m  237.2450  53.2501
 2017-Mar-05 00:58  m  237.8289  52.9407
 2017-Mar-05 01:00  m  238.4055  52.6293
 2017-Mar-05 01:02  m  238.9751  52.3159
 2017-Mar-05 01:04  m  239.5378  52.0007
 2017-Mar-05 01:06  m  240.0938  51.6837
 2017-Mar-05 01:08  m  240.6432  51.3649
 2017-Mar-05 01:10  m  241.1861  51.0443
 2017-Mar-05 01:12  m  241.7226  50.7221
 2017-Mar-05 01:14  m  242.2530  50.3983
 2017-Mar-05 01:16  m  242.7773  50.0729
 2017-Mar-05 01:18  m  243.2956  49.7460
 2017-Mar-05 01:20  m  243.8081  49.4176
 2017-Mar-05 01:22  m  244.3149  49.0878
 2017-Mar-05 01:24  m  244.8161  48.7565
 2017-Mar-05 01:26  m  245.3119  48.4240
 2017-Mar-05 01:28  m  245.8023  48.0900
 2017-Mar-05 01:30  m  246.2876  47.7549
 2017-Mar-05 01:32  m  246.7677  47.4184
 2017-Mar-05 01:34  m  247.2428  47.0808
 2017-Mar-05 01:36  m  247.7130  46.7420
 2017-Mar-05 01:38  m  248.1785  46.4021
 2017-Mar-05 01:40  m  248.6393  46.0611
 2017-Mar-05 01:42  m  249.0955  45.7191
 2017-Mar-05 01:44  m  249.5473  45.3760
 2017-Mar-05 01:46  m  249.9947  45.0319
 2017-Mar-05 01:48  m  250.4379  44.6869
 2017-Mar-05 01:50  m  250.8768  44.3409
 2017-Mar-05 01:52  m  251.3118  43.9940
 2017-Mar-05 01:54  m  251.7427  43.6462
 2017-Mar-05 01:56  m  252.1697  43.2976
 2017-Mar-05 01:58  m  252.5930  42.9482
 2017-Mar-05 02:00  m  253.0125  42.5980
 2017-Mar-05 02:02  m  253.4284  42.2470
 2017-Mar-05 02:04  m  253.8408  41.8953
 2017-Mar-05 02:06  m  254.2496  41.5429
 2017-Mar-05 02:08  m  254.6552  41.1897
 2017-Mar-05 02:10  m  255.0574  40.8360
 2017-Mar-05 02:12  m  255.4564  40.4815
 2017-Mar-05 02:14  m  255.8522  40.1265
 2017-Mar-05 02:16  m  256.2450  39.7708
 2017-Mar-05 02:18  m  256.6348  39.4146
 2017-Mar-05 02:20  m  257.0216  39.0579
 2017-Mar-05 02:22  m  257.4056  38.7005
 2017-Mar-05 02:24  m  257.7868  38.3427
