*******************************************************************************
Ephemeris / WWW_USER Sat Dec  5 21:13:21 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2017-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Dec-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 282.150000,40.7600000,0.3520000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 282.150000,4838.30099,4142.5016 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2017-Sep-05 00:00 Cm  117.7332  10.1667
 2017-Sep-05 00:02 Cm  118.0799  10.4947
 2017-Sep-05 00:04 Cm  118.4280  10.8217
 2017-Sep-05 00:06 Cm  118.7776  11.1477
 2017-Sep-05 00:08 Nm  119.1286  11.4726
 2017-Sep-05 00:10 Nm  119.4812  11.7965
 2017-Sep-05 00:12 Nm  119.8352  12.1193
 2017-Sep-05 00:14 Nm  120.1908  12.4410
 2017-Sep-05 00:16 Nm  120.5480  12.7616
 2017-Sep-05 00:18 Nm  120.9067  13.0811
 2017-Sep-05 00:20 Nm  121.2671  13.3994
 2017-Sep-05 00:22 Nm  121.6291  13.7166
 2017-Sep-05 00:24 Nm  121.9927  14.0326
 2017-Sep-05 00:26 Nm  122.3580  14.3473
 2017-Sep-05 00:28 Nm  122.7250  14.6609
 2017-Sep-05 00:30 Nm  123.0937  14.9732
 2017-Sep-05 00:32 Nm  123.4642  15.2843
 2017-Sep-05 00:34 Nm  123.8364  15.5941
 2017-Sep-05 00:36 Nm  124.2105  15.9026
 2017-Sep-05 00:38 Nm  124.5863  16.2097
 2017-Sep-05 00:40 Am  124.9639  16.5156
 2017-Sep-05 00:42 Am  125.3434  16.8201
 2017-Sep-05 00:44 Am  125.7248  17.1232
 2017-Sep-05 00:46 Am  126.1081  17.4249
 2017-Sep-05 00:48 Am  126.4933  17.7252
 2017-Sep-05 00:50 Am  126.8805  18.0241
 2017-Sep-05 00:52 Am  127.2696  18.3215
 2017-Sep-05 00:54 Am  127.6606  18.6174
 2017-Sep-05 00:56 Am  128.0537  18.9118
 2017-Sep-05 00:58 Am  128.4488  19.2047
 2017-Sep-05 01:00 Am  128.8460  19.4960
 2017-Sep-05 01:02 Am  129.2452  19.7858
 2017-Sep-05 01:04 Am  129.6465  20.0740
 2017-Sep-05 01:06 Am  130.0500  20.3605
 2017-Sep-05 01:08 Am  130.4555  20.6455
 2017-Sep-05 01:10 Am  130.8632  20.9287
 2017-Sep-05 01:12 Am  131.2730  21.2103
 2017-Sep-05 01:14  m  131.6851  21.4902
 2017-Sep-05 01:16  m  132.0993  21.7683
 2017-Sep-05 01:18  m  132.5158  22.0447
 2017-Sep-05 01:20  m  132.9345  22.3193
 2017-Sep-05 01:22  m  133.3554  22.5921
 2017-Sep-05 01:24  m  133.7787  22.8630
 2017-Sep-05 01:26  m  134.2042  23.1321
 2017-Sep-05 01:28  m  134.6320  23.3993
 2017-Sep-05 01:30  m  135.0622  23.6647
 2017-Sep-05 01:32  m  135.4947  23.9280
 2017-Sep-05 01:34  m  135.9295  24.1895
 2017-Sep-05 01:36  m  136.3667  24.4489
 2017-Sep-05 01:38  m  136.8063  24.7063
 2017-Sep-05 01:40  m  137.2483  24.9617
 2017-Sep-05 01:42  m  137.6927  25.2150
 2017-Sep-05 01:44  m  138.1396  25.4663
 2017-Sep-05 01:46  m  138.5888  25.7154
 2017-Sep-05 01:48  m  139.0406  25.9624
 2017-Sep-05 01:50  m  139.4947  26.2072
 2017-Sep-05 01:52  m  139.9514  26.4497
 2017-Sep-05 01:54  m  140.4105  26.6901
 2017-Sep-05 01:56  m  140.8721  26.9282
 2017-Sep-05 01:58  m  141.3362  27.1640
 2017-Sep-05 02:00  m  141.8027  27.3976
 2017-Sep-05 02:02  m  142.2718  27.6287
 2017-Sep-05 02:04  m  142.7435  27.8575
 2017-Sep-05 02:06  m  143.2176  28.0839
 2017-Sep-05 02:08  m  143.6942  28.3079
 2017-Sep-05 02:10  m  144.1734  28.5294
 2017-Sep-05 02:12  m  144.6551  28.7485
 2017-Sep-05 02:14  m  145.1393  28.9650
 2017-Sep-05 02:16  m  145.6260  29.1790
 2017-Sep-05 02:18  m  146.1153  29.3904
 2017-Sep-05 02:20  m  146.6071  29.5992
 2017-Sep-05 02:22  m  147.1014  29.8054
 2017-Sep-05 02:24  m  147.5982  30.0089
 2017-Sep-05 02:26  m  148.0976  30.2097
 2017-Sep-05 02:28  m  148.5994  30.4079
 2017-Sep-05 02:30  m  149.1038  30.6032
 2017-Sep-05 02:32  m  149.6106  30.7958
 2017-Sep-05 02:34  m  150.1199  30.9856
 2017-Sep-05 02:36  m  150.6317  31.1726
 2017-Sep-05 02:38  m  151.1460  31.3567
 2017-Sep-05 02:40  m  151.6627  31.5379
 2017-Sep-05 02:42  m  152.1818  31.7162
 2017-Sep-05 02:44  m  152.7033  31.8915
 2017-Sep-05 02:46  m  153.2272  32.0639
 2017-Sep-05 02:48  m  153.7535  32.2333
 2017-Sep-05 02:50  m  154.2822  32.3996
 2017-Sep-05 02:52  m  154.8132  32.5629
 2017-Sep-05 02:54  m  155.3465  32.7230
 2017-Sep-05 02:56  m  155.8821  32.8801
 2017-Sep-05 02:58  m  156.4200  33.0340
 2017-Sep-05 03:00  m  156.9601  33.1848
 2017-Sep-05 03:02  m  157.5025  33.3323
 2017-Sep-05 03:04  m  158.0470  33.4767
 2017-Sep-05 03:06  m  158.5936  33.6177
 2017-Sep-05 03:08  m  159.1424  33.7556
 2017-Sep-05 03:10  m  159.6933  33.8901
 2017-Sep-05 03:12  m  160.2462  34.0212
 2017-Sep-05 03:14  m  160.8012  34.1491
 2017-Sep-05 03:16  m  161.3581  34.2735
 2017-Sep-05 03:18  m  161.9169  34.3946
 2017-Sep-05 03:20  m  162.4777  34.5122
 2017-Sep-05 03:22  m  163.0403  34.6264
 2017-Sep-05 03:24  m  163.6047  34.7372
 2017-Sep-05 03:26  m  164.1709  34.8444
 2017-Sep-05 03:28  m  164.7388  34.9481
 2017-Sep-05 03:30  m  165.3084  35.0483
 2017-Sep-05 03:32  m  165.8796  35.1450
 2017-Sep-05 03:34  m  166.4523  35.2381
 2017-Sep-05 03:36  m  167.0267  35.3276
 2017-Sep-05 03:38  m  167.6024  35.4134
 2017-Sep-05 03:40  m  168.1796  35.4957
 2017-Sep-05 03:42  m  168.7582  35.5743
 2017-Sep-05 03:44  m  169.3381  35.6493
 2017-Sep-05 03:46  m  169.9192  35.7205
 2017-Sep-05 03:48  m  170.5015  35.7881
 2017-Sep-05 03:50  m  171.0850  35.8520
 2017-Sep-05 03:52  m  171.6696  35.9122
 2017-Sep-05 03:54  m  172.2551  35.9686
 2017-Sep-05 03:56  m  172.8416  36.0213
 2017-Sep-05 03:58  m  173.4290  36.0702
 2017-Sep-05 04:00  m  174.0173  36.1154
 2017-Sep-05 04:02  m  174.6063  36.1568
 2017-Sep-05 04:04  m  175.1960  36.1944
 2017-Sep-05 04:06  m  175.7863  36.2282
 2017-Sep-05 04:08  m  176.3772  36.2583
 2017-Sep-05 04:10  m  176.9687  36.2845
 2017-Sep-05 04:12  m  177.5605  36.3069
 2017-Sep-05 04:14  m  178.1528  36.3255
 2017-Sep-05 04:16  m  178.7453  36.3402
 2017-Sep-05 04:18  m  179.3381  36.3512
 2017-Sep-05 04:20  m  179.9310  36.3583
 2017-Sep-05 04:22  m  180.5241  36.3616
 2017-Sep-05 04:24  t  181.1172  36.3610
 2017-Sep-05 04:26  m  181.7102  36.3567
 2017-Sep-05 04:28  m  182.3032  36.3485
 2017-Sep-05 04:30  m  182.8960  36.3365
 2017-Sep-05 04:32  m  183.4885  36.3206
 2017-Sep-05 04:34  m  184.0808  36.3009
 2017-Sep-05 04:36  m  184.6726  36.2775
 2017-Sep-05 04:38  m  185.2641  36.2502
 2017-Sep-05 04:40  m  185.8550  36.2191
 2017-Sep-05 04:42  m  186.4454  36.1842
 2017-Sep-05 04:44  m  187.0351  36.1456
 2017-Sep-05 04:46  m  187.6242  36.1031
 2017-Sep-05 04:48  m  188.2124  36.0569
 2017-Sep-05 04:50  m  188.7999  36.0069
 2017-Sep-05 04:52  m  189.3865  35.9532
 2017-Sep-05 04:54  m  189.9721  35.8957
 2017-Sep-05 04:56  m  190.5567  35.8345
 2017-Sep-05 04:58  m  191.1402  35.7697
 2017-Sep-05 05:00  m  191.7226  35.7011
 2017-Sep-05 05:02  m  192.3038  35.6288
 2017-Sep-05 05:04  m  192.8838  35.5529
 2017-Sep-05 05:06  m  193.4624  35.4733
 2017-Sep-05 05:08  m  194.0397  35.3901
 2017-Sep-05 05:10  m  194.6156  35.3032
 2017-Sep-05 05:12  m  195.1901  35.2128
 2017-Sep-05 05:14  m  195.7630  35.1188
 2017-Sep-05 05:16  m  196.3343  35.0212
 2017-Sep-05 05:18  m  196.9041  34.9201
 2017-Sep-05 05:20  m  197.4721  34.8155
 2017-Sep-05 05:22  m  198.0385  34.7074
 2017-Sep-05 05:24  m  198.6031  34.5958
 2017-Sep-05 05:26  m  199.1659  34.4807
 2017-Sep-05 05:28  m  199.7269  34.3622
 2017-Sep-05 05:30  m  200.2860  34.2404
 2017-Sep-05 05:32  m  200.8431  34.1151
 2017-Sep-05 05:34  m  201.3983  33.9865
 2017-Sep-05 05:36  m  201.9515  33.8545
 2017-Sep-05 05:38  m  202.5027  33.7192
 2017-Sep-05 05:40  m  203.0518  33.5807
 2017-Sep-05 05:42  m  203.5988  33.4388
 2017-Sep-05 05:44  m  204.1437  33.2938
 2017-Sep-05 05:46  m  204.6864  33.1455
 2017-Sep-05 05:48  m  205.2269  32.9941
 2017-Sep-05 05:50  m  205.7652  32.8395
 2017-Sep-05 05:52  m  206.3012  32.6818
 2017-Sep-05 05:54  m  206.8350  32.5210
 2017-Sep-05 05:56  m  207.3665  32.3571
 2017-Sep-05 05:58  m  207.8957  32.1902
 2017-Sep-05 06:00  m  208.4225  32.0203
 2017-Sep-05 06:02  m  208.9470  31.8473
 2017-Sep-05 06:04  m  209.4692  31.6715
 2017-Sep-05 06:06  m  209.9889  31.4927
 2017-Sep-05 06:08  m  210.5062  31.3109
 2017-Sep-05 06:10  m  211.0212  31.1264
 2017-Sep-05 06:12  m  211.5337  30.9389
 2017-Sep-05 06:14  m  212.0437  30.7487
 2017-Sep-05 06:16  m  212.5513  30.5557
 2017-Sep-05 06:18  m  213.0565  30.3599
 2017-Sep-05 06:20  m  213.5591  30.1614
 2017-Sep-05 06:22  m  214.0593  29.9602
 2017-Sep-05 06:24  m  214.5571  29.7564
 2017-Sep-05 06:26  m  215.0523  29.5499
 2017-Sep-05 06:28  m  215.5451  29.3408
 2017-Sep-05 06:30  m  216.0353  29.1291
 2017-Sep-05 06:32  m  216.5231  28.9149
 2017-Sep-05 06:34  m  217.0084  28.6981
 2017-Sep-05 06:36  m  217.4912  28.4789
 2017-Sep-05 06:38  m  217.9715  28.2572
 2017-Sep-05 06:40  m  218.4493  28.0330
 2017-Sep-05 06:42  m  218.9247  27.8065
 2017-Sep-05 06:44  m  219.3976  27.5775
 2017-Sep-05 06:46  m  219.8680  27.3463
 2017-Sep-05 06:48  m  220.3359  27.1127
 2017-Sep-05 06:50  m  220.8014  26.8768
 2017-Sep-05 06:52  m  221.2644  26.6387
 2017-Sep-05 06:54  m  221.7249  26.3983
 2017-Sep-05 06:56  m  222.1831  26.1557
 2017-Sep-05 06:58  m  222.6388  25.9110
 2017-Sep-05 07:00  m  223.0921  25.6641
 2017-Sep-05 07:02  m  223.5430  25.4150
 2017-Sep-05 07:04  m  223.9915  25.1639
 2017-Sep-05 07:06  m  224.4377  24.9107
 2017-Sep-05 07:08  m  224.8814  24.6555
 2017-Sep-05 07:10  m  225.3229  24.3982
 2017-Sep-05 07:12  m  225.7619  24.1390
 2017-Sep-05 07:14  m  226.1987  23.8778
 2017-Sep-05 07:16  m  226.6331  23.6147
 2017-Sep-05 07:18  m  227.0653  23.3496
 2017-Sep-05 07:20  m  227.4952  23.0827
 2017-Sep-05 07:22  m  227.9228  22.8139
 2017-Sep-05 07:24  m  228.3482  22.5433
 2017-Sep-05 07:26  m  228.7714  22.2709
 2017-Sep-05 07:28  m  229.1923  21.9967
 2017-Sep-05 07:30  m  229.6111  21.7207
 2017-Sep-05 07:32  m  230.0277  21.4430
 2017-Sep-05 07:34  m  230.4421  21.1636
 2017-Sep-05 07:36  m  230.8544  20.8825
 2017-Sep-05 07:38  m  231.2646  20.5998
 2017-Sep-05 07:40  m  231.6727  20.3154
 2017-Sep-05 07:42  m  232.0787  20.0294
 2017-Sep-05 07:44  m  232.4827  19.7418
 2017-Sep-05 07:46  m  232.8847  19.4527
 2017-Sep-05 07:48  m  233.2846  19.1620
 2017-Sep-05 07:50  m  233.6826  18.8698
 2017-Sep-05 07:52  m  234.0785  18.5760
 2017-Sep-05 07:54  m  234.4726  18.2809
 2017-Sep-05 07:56  m  234.8647  17.9842
 2017-Sep-05 07:58  m  235.2548  17.6861
 2017-Sep-05 08:00  m  235.6432  17.3866
