*******************************************************************************
Ephemeris / WWW_USER Sat Dec  5 21:21:19 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2020-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Dec-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 282.150000,40.7600000,0.3520000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 282.150000,4838.30099,4142.5016 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2020-Sep-05 00:00 C    77.3224 -13.5893
 2020-Sep-05 00:02 C    77.6525 -13.2265
 2020-Sep-05 00:04 C    77.9816 -12.8632
 2020-Sep-05 00:06 N    78.3098 -12.4994
 2020-Sep-05 00:08 N    78.6371 -12.1351
 2020-Sep-05 00:10 N    78.9634 -11.7704
 2020-Sep-05 00:12 N    79.2889 -11.4053
 2020-Sep-05 00:14 N    79.6136 -11.0397
 2020-Sep-05 00:16 N    79.9374 -10.6738
 2020-Sep-05 00:18 N    80.2605 -10.3074
 2020-Sep-05 00:20 N    80.5829  -9.9407
 2020-Sep-05 00:22 N    80.9045  -9.5736
 2020-Sep-05 00:24 N    81.2254  -9.2062
 2020-Sep-05 00:26 N    81.5456  -8.8384
 2020-Sep-05 00:28 N    81.8653  -8.4702
 2020-Sep-05 00:30 N    82.1843  -8.1018
 2020-Sep-05 00:32 N    82.5027  -7.7330
 2020-Sep-05 00:34 N    82.8205  -7.3640
 2020-Sep-05 00:36 N    83.1379  -6.9946
 2020-Sep-05 00:38 N    83.4547  -6.6250
 2020-Sep-05 00:40 A    83.7710  -6.2551
 2020-Sep-05 00:42 A    84.0869  -5.8850
 2020-Sep-05 00:44 A    84.4024  -5.5146
 2020-Sep-05 00:46 A    84.7175  -5.1440
 2020-Sep-05 00:48 A    85.0322  -4.7731
 2020-Sep-05 00:50 A    85.3466  -4.4021
 2020-Sep-05 00:52 A    85.6606  -4.0308
 2020-Sep-05 00:54 A    85.9744  -3.6594
 2020-Sep-05 00:56 A    86.2879  -3.2878
 2020-Sep-05 00:58 A    86.6011  -2.9160
 2020-Sep-05 01:00 A    86.9141  -2.5441
 2020-Sep-05 01:02 A    87.2270  -2.1720
 2020-Sep-05 01:04 A    87.5397  -1.7998
 2020-Sep-05 01:06 A    87.8522  -1.4274
 2020-Sep-05 01:08 A    88.1647  -1.0550
 2020-Sep-05 01:10 Ar   88.4770  -0.6824
 2020-Sep-05 01:12 Am   88.7893  -0.3098
 2020-Sep-05 01:14  m   89.1016   0.0629
 2020-Sep-05 01:16  m   89.4139   0.4357
 2020-Sep-05 01:18  m   89.7262   0.8085
 2020-Sep-05 01:20  m   90.0385   1.1814
 2020-Sep-05 01:22  m   90.3509   1.5544
 2020-Sep-05 01:24  m   90.6635   1.9273
 2020-Sep-05 01:26  m   90.9761   2.3003
 2020-Sep-05 01:28  m   91.2889   2.6733
 2020-Sep-05 01:30  m   91.6019   3.0462
 2020-Sep-05 01:32  m   91.9150   3.4192
 2020-Sep-05 01:34  m   92.2284   3.7921
 2020-Sep-05 01:36  m   92.5421   4.1650
 2020-Sep-05 01:38  m   92.8561   4.5379
 2020-Sep-05 01:40  m   93.1703   4.9106
 2020-Sep-05 01:42  m   93.4849   5.2833
 2020-Sep-05 01:44  m   93.7999   5.6559
 2020-Sep-05 01:46  m   94.1152   6.0285
 2020-Sep-05 01:48  m   94.4310   6.4009
 2020-Sep-05 01:50  m   94.7472   6.7732
 2020-Sep-05 01:52  m   95.0639   7.1454
 2020-Sep-05 01:54  m   95.3811   7.5174
 2020-Sep-05 01:56  m   95.6988   7.8893
 2020-Sep-05 01:58  m   96.0171   8.2610
 2020-Sep-05 02:00  m   96.3359   8.6326
 2020-Sep-05 02:02  m   96.6554   9.0039
 2020-Sep-05 02:04  m   96.9755   9.3751
 2020-Sep-05 02:06  m   97.2962   9.7460
 2020-Sep-05 02:08  m   97.6177  10.1168
 2020-Sep-05 02:10  m   97.9399  10.4873
 2020-Sep-05 02:12  m   98.2628  10.8575
 2020-Sep-05 02:14  m   98.5865  11.2275
 2020-Sep-05 02:16  m   98.9111  11.5973
 2020-Sep-05 02:18  m   99.2364  11.9667
 2020-Sep-05 02:20  m   99.5627  12.3359
 2020-Sep-05 02:22  m   99.8898  12.7047
 2020-Sep-05 02:24  m  100.2179  13.0732
 2020-Sep-05 02:26  m  100.5469  13.4414
 2020-Sep-05 02:28  m  100.8769  13.8092
 2020-Sep-05 02:30  m  101.2079  14.1767
 2020-Sep-05 02:32  m  101.5400  14.5438
 2020-Sep-05 02:34  m  101.8732  14.9105
 2020-Sep-05 02:36  m  102.2074  15.2769
 2020-Sep-05 02:38  m  102.5428  15.6428
 2020-Sep-05 02:40  m  102.8794  16.0082
 2020-Sep-05 02:42  m  103.2172  16.3733
 2020-Sep-05 02:44  m  103.5563  16.7379
 2020-Sep-05 02:46  m  103.8966  17.1020
 2020-Sep-05 02:48  m  104.2382  17.4656
 2020-Sep-05 02:50  m  104.5811  17.8287
 2020-Sep-05 02:52  m  104.9255  18.1913
 2020-Sep-05 02:54  m  105.2712  18.5534
 2020-Sep-05 02:56  m  105.6184  18.9149
 2020-Sep-05 02:58  m  105.9670  19.2759
 2020-Sep-05 03:00  m  106.3172  19.6362
 2020-Sep-05 03:02  m  106.6688  19.9960
 2020-Sep-05 03:04  m  107.0221  20.3552
 2020-Sep-05 03:06  m  107.3770  20.7138
 2020-Sep-05 03:08  m  107.7336  21.0717
 2020-Sep-05 03:10  m  108.0918  21.4289
 2020-Sep-05 03:12  m  108.4517  21.7855
 2020-Sep-05 03:14  m  108.8134  22.1414
 2020-Sep-05 03:16  m  109.1769  22.4965
 2020-Sep-05 03:18  m  109.5423  22.8510
 2020-Sep-05 03:20  m  109.9095  23.2046
 2020-Sep-05 03:22  m  110.2786  23.5576
 2020-Sep-05 03:24  m  110.6497  23.9097
 2020-Sep-05 03:26  m  111.0228  24.2610
 2020-Sep-05 03:28  m  111.3979  24.6115
 2020-Sep-05 03:30  m  111.7751  24.9611
 2020-Sep-05 03:32  m  112.1543  25.3099
 2020-Sep-05 03:34  m  112.5358  25.6578
 2020-Sep-05 03:36  m  112.9194  26.0048
 2020-Sep-05 03:38  m  113.3052  26.3509
 2020-Sep-05 03:40  m  113.6934  26.6960
 2020-Sep-05 03:42  m  114.0838  27.0402
 2020-Sep-05 03:44  m  114.4766  27.3833
