*******************************************************************************
Ephemeris / WWW_USER Sat Dec  5 21:21:56 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2020-Dec-05 00:00:00.0000 UT      
Stop  time      : A.D. 2021-Mar-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 282.150000,40.7600000,0.3520000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 282.150000,4838.30099,4142.5016 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2020-Dec-05 00:00      43.9854 -14.0563
 2020-Dec-05 00:02      44.3629 -13.8055
 2020-Dec-05 00:04      44.7388 -13.5530
 2020-Dec-05 00:06      45.1131 -13.2988
 2020-Dec-05 00:08      45.4858 -13.0429
 2020-Dec-05 00:10      45.8570 -12.7853
 2020-Dec-05 00:12      46.2266 -12.5261
 2020-Dec-05 00:14      46.5947 -12.2652
 2020-Dec-05 00:16      46.9612 -12.0027
 2020-Dec-05 00:18      47.3263 -11.7385
 2020-Dec-05 00:20      47.6898 -11.4728
 2020-Dec-05 00:22      48.0519 -11.2055
 2020-Dec-05 00:24      48.4124 -10.9366
 2020-Dec-05 00:26      48.7715 -10.6661
 2020-Dec-05 00:28      49.1292 -10.3942
 2020-Dec-05 00:30      49.4854 -10.1207
 2020-Dec-05 00:32      49.8401  -9.8458
 2020-Dec-05 00:34      50.1934  -9.5693
 2020-Dec-05 00:36      50.5454  -9.2914
 2020-Dec-05 00:38      50.8959  -9.0120
 2020-Dec-05 00:40      51.2450  -8.7312
 2020-Dec-05 00:42      51.5928  -8.4490
 2020-Dec-05 00:44      51.9392  -8.1654
 2020-Dec-05 00:46      52.2842  -7.8804
 2020-Dec-05 00:48      52.6279  -7.5940
 2020-Dec-05 00:50      52.9703  -7.3063
 2020-Dec-05 00:52      53.3114  -7.0173
 2020-Dec-05 00:54      53.6512  -6.7269
 2020-Dec-05 00:56      53.9897  -6.4352
 2020-Dec-05 00:58      54.3270  -6.1422
 2020-Dec-05 01:00      54.6630  -5.8479
 2020-Dec-05 01:02      54.9977  -5.5523
 2020-Dec-05 01:04      55.3313  -5.2555
 2020-Dec-05 01:06      55.6636  -4.9575
 2020-Dec-05 01:08      55.9947  -4.6582
 2020-Dec-05 01:10      56.3247  -4.3578
 2020-Dec-05 01:12      56.6535  -4.0561
 2020-Dec-05 01:14      56.9811  -3.7533
 2020-Dec-05 01:16      57.3077  -3.4492
 2020-Dec-05 01:18      57.6331  -3.1441
 2020-Dec-05 01:20      57.9573  -2.8378
 2020-Dec-05 01:22      58.2805  -2.5303
 2020-Dec-05 01:24      58.6027  -2.2218
 2020-Dec-05 01:26      58.9238  -1.9121
 2020-Dec-05 01:28      59.2438  -1.6013
 2020-Dec-05 01:30      59.5628  -1.2895
 2020-Dec-05 01:32      59.8808  -0.9766
 2020-Dec-05 01:34  r   60.1978  -0.6627
 2020-Dec-05 01:36  m   60.5138  -0.3477
 2020-Dec-05 01:38  m   60.8289  -0.0317
 2020-Dec-05 01:40  m   61.1430   0.2853
 2020-Dec-05 01:42  m   61.4562   0.6033
 2020-Dec-05 01:44  m   61.7685   0.9223
 2020-Dec-05 01:46  m   62.0798   1.2423
 2020-Dec-05 01:48  m   62.3903   1.5632
 2020-Dec-05 01:50  m   62.7000   1.8851
 2020-Dec-05 01:52  m   63.0087   2.2080
 2020-Dec-05 01:54  m   63.3167   2.5317
 2020-Dec-05 01:56  m   63.6238   2.8564
 2020-Dec-05 01:58  m   63.9302   3.1820
 2020-Dec-05 02:00  m   64.2357   3.5085
 2020-Dec-05 02:02  m   64.5405   3.8359
 2020-Dec-05 02:04  m   64.8445   4.1641
 2020-Dec-05 02:06  m   65.1479   4.4932
 2020-Dec-05 02:08  m   65.4505   4.8232
 2020-Dec-05 02:10  m   65.7524   5.1540
 2020-Dec-05 02:12  m   66.0536   5.4856
 2020-Dec-05 02:14  m   66.3541   5.8180
 2020-Dec-05 02:16  m   66.6541   6.1513
 2020-Dec-05 02:18  m   66.9534   6.4853
 2020-Dec-05 02:20  m   67.2520   6.8201
 2020-Dec-05 02:22  m   67.5501   7.1557
 2020-Dec-05 02:24  m   67.8477   7.4921
 2020-Dec-05 02:26  m   68.1446   7.8292
 2020-Dec-05 02:28  m   68.4410   8.1671
 2020-Dec-05 02:30  m   68.7370   8.5057
 2020-Dec-05 02:32  m   69.0324   8.8450
 2020-Dec-05 02:34  m   69.3273   9.1850
 2020-Dec-05 02:36  m   69.6217   9.5258
 2020-Dec-05 02:38  m   69.9158   9.8672
 2020-Dec-05 02:40  m   70.2093  10.2093
 2020-Dec-05 02:42  m   70.5025  10.5521
 2020-Dec-05 02:44  m   70.7953  10.8956
 2020-Dec-05 02:46  m   71.0877  11.2397
 2020-Dec-05 02:48  m   71.3798  11.5844
 2020-Dec-05 02:50  m   71.6715  11.9298
 2020-Dec-05 02:52  m   71.9629  12.2758
 2020-Dec-05 02:54  m   72.2541  12.6224
 2020-Dec-05 02:56  m   72.5449  12.9697
 2020-Dec-05 02:58  m   72.8355  13.3175
 2020-Dec-05 03:00  m   73.1259  13.6659
 2020-Dec-05 03:02  m   73.4160  14.0149
 2020-Dec-05 03:04  m   73.7060  14.3645
 2020-Dec-05 03:06  m   73.9958  14.7146
 2020-Dec-05 03:08  m   74.2854  15.0653
 2020-Dec-05 03:10  m   74.5749  15.4165
 2020-Dec-05 03:12  m   74.8643  15.7682
 2020-Dec-05 03:14  m   75.1536  16.1205
 2020-Dec-05 03:16  m   75.4428  16.4733
 2020-Dec-05 03:18  m   75.7320  16.8265
 2020-Dec-05 03:20  m   76.0211  17.1803
 2020-Dec-05 03:22  m   76.3103  17.5346
 2020-Dec-05 03:24  m   76.5994  17.8893
 2020-Dec-05 03:26  m   76.8886  18.2445
 2020-Dec-05 03:28  m   77.1779  18.6002
 2020-Dec-05 03:30  m   77.4672  18.9563
 2020-Dec-05 03:32  m   77.7567  19.3129
 2020-Dec-05 03:34  m   78.0463  19.6699
 2020-Dec-05 03:36  m   78.3360  20.0273
 2020-Dec-05 03:38  m   78.6260  20.3851
 2020-Dec-05 03:40  m   78.9161  20.7433
 2020-Dec-05 03:42  m   79.2064  21.1020
 2020-Dec-05 03:44  m   79.4971  21.4610
 2020-Dec-05 03:46  m   79.7879  21.8204
 2020-Dec-05 03:48  m   80.0791  22.1801
 2020-Dec-05 03:50  m   80.3707  22.5402
 2020-Dec-05 03:52  m   80.6625  22.9007
 2020-Dec-05 03:54  m   80.9548  23.2615
 2020-Dec-05 03:56  m   81.2474  23.6226
 2020-Dec-05 03:58  m   81.5405  23.9841
 2020-Dec-05 04:00  m   81.8341  24.3459
 2020-Dec-05 04:02  m   82.1281  24.7080
 2020-Dec-05 04:04  m   82.4227  25.0704
 2020-Dec-05 04:06  m   82.7178  25.4330
 2020-Dec-05 04:08  m   83.0135  25.7960
 2020-Dec-05 04:10  m   83.3098  26.1592
